date,close
1920-01-31,101.96
1920-02-29,101.08
1920-03-31,100.95
1920-04-30,100.95
1920-05-31,97.92
1920-06-30,93.74
1920-07-31,91.72
1920-08-31,89.44
1920-09-30,87.92
1920-10-31,85.39
1920-11-30,82.48
1920-12-31,79.07
1921-01-31,77.93
1921-02-28,78.69
1921-03-31,80.08
1921-04-30,80.46
1921-05-31,77.80
1921-06-30,74.77
1921-07-31,72.49
1921-08-31,72.11
1921-09-30,73.50
1921-10-31,77.42
1921-11-30,80.08
1921-12-31,82.48
1922-01-31,85.52
1922-02-28,88.68
1922-03-31,91.59
1922-04-30,95.01
1922-05-31,97.41
1922-06-30,98.17
1922-07-31,99.81
1922-08-31,102.22
1922-09-30,101.71
1922-10-31,99.81
1922-11-30,99.05
1922-12-31,100.19
1923-01-31,103.48
1923-02-28,104.62
1923-03-31,105.13
1923-04-30,103.61
1923-05-31,97.66
1923-06-30,95.77
1923-07-31,93.49
1923-08-31,93.87
1923-09-30,93.87
1923-10-31,93.36
1923-11-30,95.13
1923-12-31,99.81
1924-01-31,101.84
1924-02-29,100.57
1924-03-31,98.17
1924-04-30,95.01
1924-05-31,96.27
1924-06-30,98.93
1924-07-31,102.09
1924-08-31,106.64
1924-09-30,107.15
1924-10-31,110.31
1924-11-30,114.74
1924-12-31,119.80
1925-01-31,123.98
1925-02-28,124.10
1925-03-31,122.96
1925-04-30,126.38
1925-05-31,128.53
1925-06-30,132.70
1925-07-31,139.28
1925-08-31,142.95
1925-09-30,149.78
1925-10-31,152.94
1925-11-30,155.73
1925-12-31,156.61
1926-01-31,157.12
1926-02-28,153.07
1926-03-31,150.16
1926-04-30,147.25
1926-05-31,150.54
1926-06-30,154.97
1926-07-31,159.40
1926-08-31,162.81
1926-09-30,160.28
1926-10-31,157.25
1926-11-30,157.37
1926-12-31,159.27
1927-01-31,161.17
1927-02-28,162.81
1927-03-31,165.47
1927-04-30,169.14
1927-05-31,171.54
1927-06-30,177.11
1927-07-31,181.28
1927-08-31,188.11
1927-09-30,192.79
1927-10-31,192.54
1927-11-30,193.80
1927-12-31,198.48
1928-01-31,202.15
1928-02-29,206.58
1928-03-31,207.59
1928-04-30,213.92
1928-05-31,218.22
1928-06-30,219.48
1928-07-31,227.33
1928-08-31,230.49
1928-09-30,252.25
1928-10-31,267.93
1928-11-30,276.66
1928-12-31,300.82
1929-01-31,310.56
1929-02-28,314.99
1929-03-31,314.99
1929-04-30,311.45
1929-05-31,318.66
1929-06-30,328.78
1929-07-31,347.76
1929-08-31,347.63
1929-09-30,322.71
1929-10-31,302.97
1929-11-30,279.32
1929-12-31,258.95
1930-01-31,267.93
1930-02-28,275.02
1930-03-31,283.24
1930-04-30,269.96
1930-05-31,255.41
1930-06-30,253.01
1930-07-31,236.18
1930-08-31,221.89
1930-09-30,214.68
1930-10-31,204.18
1930-11-30,180.14
1930-12-31,176.35
1931-01-31,179.76
1931-02-28,180.77
1931-03-31,168.50
1931-04-30,156.74
1931-05-31,147.00
1931-06-30,143.20
1931-07-31,138.40
1931-08-31,122.71
1931-09-30,121.07
1931-10-31,103.23
1931-11-30,95.26
1931-12-31,90.45
1932-01-31,84.00
1932-02-29,77.80
1932-03-31,70.85
1932-04-30,64.14
1932-05-31,57.31
1932-06-30,55.79
1932-07-31,61.86
1932-08-31,66.16
1932-09-30,70.59
1932-10-31,67.56
1932-11-30,63.63
1932-12-31,62.50
1933-01-31,60.35
1933-02-28,61.99
1933-03-31,69.45
1933-04-30,75.65
1933-05-31,89.19
1933-06-30,96.02
1933-07-31,99.43
1933-08-31,100.45
1933-09-30,98.55
1933-10-31,96.52
1933-11-30,98.04
1933-12-31,105.63
1934-01-31,107.78
1934-02-28,107.78
1934-03-31,105.13
1934-04-30,101.33
1934-05-31,99.81
1934-06-30,96.02
1934-07-31,94.88
1934-08-31,94.88
1934-09-30,97.41
1934-10-31,100.95
1934-11-30,102.34
1934-12-31,106.27
1935-01-31,105.51
1935-02-28,106.01
1935-03-31,108.29
1935-04-30,110.57
1935-05-31,117.27
1935-06-30,121.70
1935-07-31,126.88
1935-08-31,132.96
1935-09-30,137.01
1935-10-31,139.91
1935-11-30,145.61
1935-12-31,149.15
1936-01-31,151.43
1936-02-29,155.35
1936-03-31,154.46
1936-04-30,153.32
1936-05-31,155.47
1936-06-30,162.18
1936-07-31,165.21
1936-08-31,170.15
1936-09-30,174.96
1936-10-31,179.13
1936-11-30,182.92
1936-12-31,185.08
1937-01-31,186.47
1937-02-28,187.23
1937-03-31,183.56
1937-04-30,182.29
1937-05-31,177.36
1937-06-30,180.14
1937-07-31,178.88
1937-08-31,170.15
1937-09-30,156.36
1937-10-31,144.09
1937-11-30,134.60
1937-12-31,127.52
1938-01-31,123.72
1938-02-28,118.03
1938-03-31,117.02
1938-04-30,113.35
1938-05-31,124.99
1938-06-30,128.28
1938-07-31,137.26
1938-08-31,145.61
1938-09-30,148.77
1938-10-31,150.41
1938-11-30,154.34
1938-12-31,152.69
1939-01-31,149.40
1939-02-28,143.08
1939-03-31,141.05
1939-04-30,136.25
1939-05-31,137.38
1939-06-30,139.66
1939-07-31,141.18
1939-08-31,146.37
1939-09-30,147.50
1939-10-31,151.81
1939-11-30,151.17
1939-12-31,151.17
1940-01-31,150.03
1940-02-29,149.91
1940-03-31,141.31
1940-04-30,135.87
1940-05-31,134.73
1940-06-30,126.63
1940-07-31,129.79
1940-08-31,133.08
1940-09-30,135.49
1940-10-31,136.63
1940-11-30,134.10
1940-12-31,131.19
1941-01-31,129.67
1941-02-28,124.86
1941-03-31,122.71
1941-04-30,121.45
1941-05-31,122.96
1941-06-30,126.63
1941-07-31,129.79
1941-08-31,129.41
1941-09-30,126.00
1941-10-31,122.58
1941-11-30,117.52
1941-12-31,114.74
1942-01-31,111.45
1942-02-28,106.64
1942-03-31,103.86
1942-04-30,101.58
1942-05-31,104.11
1942-06-30,107.15
1942-07-31,108.67
1942-08-31,111.33
1942-09-30,114.36
1942-10-31,116.39
1942-11-30,120.81
1942-12-31,124.10
1943-01-31,130.17
1943-02-28,134.85
1943-03-31,137.51
1943-04-30,141.31
1943-05-31,143.33
1943-06-30,143.08
1943-07-31,141.81
1943-08-31,141.56
1943-09-30,140.67
1943-10-31,137.51
1943-11-30,136.50
1943-12-31,137.76
1944-01-31,140.04
1944-02-29,140.67
1944-03-31,141.05
1944-04-30,143.46
1944-05-31,146.24
1944-06-30,149.28
1944-07-31,149.78
1944-08-31,149.91
1944-09-30,149.91
1944-10-31,150.41
1944-11-30,152.94
1944-12-31,155.85
1945-01-31,159.65
1945-02-28,160.66
1945-03-31,163.06
1945-04-30,165.47
1945-05-31,169.26
1945-06-30,168.88
1945-07-31,173.31
1945-08-31,177.11
1945-09-30,183.56
1945-10-31,189.38
1945-11-30,196.59
1945-12-31,201.01
1946-01-31,200.51
1946-02-28,199.75
1946-03-31,203.29
1946-04-30,209.11
1946-05-31,211.26
1946-06-30,204.30
1946-07-31,194.31
1946-08-31,188.74
1946-09-30,182.29
1946-10-31,174.83
1946-11-30,176.47
1946-12-31,178.88
1947-01-31,181.91
1947-02-28,179.64
1947-03-31,177.23
1947-04-30,175.46
1947-05-31,177.61
1947-06-30,180.27
1947-07-31,183.30
1947-08-31,182.55
1947-09-30,182.29
1947-10-31,183.30
1947-11-30,182.80
1947-12-31,180.02
1948-01-31,175.97
1948-02-29,175.33
1948-03-31,180.02
1948-04-30,186.47
1948-05-31,189.50
1948-06-30,188.62
1948-07-31,186.85
1948-08-31,184.32
1948-09-30,184.95
1948-10-31,183.05
1948-11-30,181.53
1948-12-31,179.26
1949-01-31,179.26
1949-02-28,178.24
1949-03-31,177.74
1949-04-30,174.45
1949-05-31,173.18
