year,bh_return,strat_return,strat_pct_invested
1999,0.788764,0.062210,0.033981
2000,-0.361129,0.027379,0.730159
2001,-0.333505,0.039353,0.000000
2002,-0.373683,0.040000,0.000000
2003,0.496102,0.394503,0.892857
2004,0.094624,0.004137,0.690476
2005,0.012528,-0.076438,0.773810
2006,0.068052,-0.033238,0.633466
2007,0.186747,0.186747,1.000000
2008,-0.419367,-0.134546,0.122530
2009,0.538332,0.276891,0.591270
2010,0.190383,0.083322,0.809524
2011,0.025156,-0.010125,0.686508
2012,0.166577,0.171220,0.956000
2013,0.350530,0.312921,0.928571
2014,0.173829,0.173829,1.000000
2015,0.083390,-0.006908,0.865079
2016,0.059181,-0.040361,0.694444
2017,0.314652,0.314652,1.000000
2018,-0.009630,0.108931,0.928287
2019,0.378257,0.174397,0.750000
2020,0.475660,0.414127,0.936759
2021,0.268088,0.268088,1.000000
2022,-0.330703,-0.113450,0.159363
2023,0.537930,0.418640,0.808000
2024,0.248364,0.248364,1.000000
2025,0.201631,0.025030,0.808000
2026,0.170728,0.170728,1.000000
