strategy,full_cagr,full_maxdd,modern_cagr,modern_maxdd,ret_win_1y,dd_win_1y
buy & hold QQQ,0.103098,-0.829827,0.146635,-0.535526,0.5000,1.0000
QQQ 50/200 (base),0.118710,-0.362657,0.127181,-0.285594,0.3333,0.7111
base & SPY>SMA200,0.084031,-0.493070,0.107394,-0.193645,0.2603,0.8190
base & SPY 50/200,0.110017,-0.362657,0.120591,-0.285594,0.3397,0.7651
base | SPY 50/200,0.109339,-0.362657,0.126486,-0.285594,0.3873,0.7143
base & QQQ>SPY RS100,0.083900,-0.285594,0.086516,-0.285594,0.2476,0.7524
base & QQQ>SPY RS50,0.065350,-0.298276,0.065274,-0.298276,0.2190,0.7873
base & DIA>SMA200,0.080396,-0.339128,0.100312,-0.213273,0.2603,0.8857
base & IWM>SMA200,0.099180,-0.362657,0.104676,-0.174792,0.3111,0.7524
base & risk-on vs TLT63,0.084314,-0.362657,0.088766,-0.268181,0.2603,0.8190
SPY 50/200 → QQQ,0.100718,-0.362657,0.119900,-0.285594,0.3651,0.7683
QQQ>SPY RS100 only,0.118949,-0.303123,0.109833,-0.285594,0.3206,0.6603
