date,close,bh_equity,flagship_equity,flagship_position,bh_drawdown,flagship_drawdown
1999-03-10,51.0600,1.000000,1.000000,0,0.000000,0.000000
1999-03-11,51.3100,1.004394,1.000156,0,0.000000,0.000000
1999-03-12,50.0600,0.979925,1.000311,0,-0.024362,0.000000
1999-03-15,51.5000,1.008113,1.000467,0,0.000000,0.000000
1999-03-16,51.9400,1.016726,1.000623,0,0.000000,0.000000
1999-03-17,51.5600,1.009288,1.000778,0,-0.007316,0.000000
1999-03-18,52.5600,1.028863,1.000934,0,0.000000,0.000000
1999-03-19,51.2200,1.002632,1.001090,0,-0.025495,0.000000
1999-03-22,50.5900,0.990300,1.001246,0,-0.037481,0.000000
1999-03-23,48.8100,0.955456,1.001402,0,-0.071347,0.000000
1999-03-24,50.4700,0.987951,1.001558,0,-0.039764,0.000000
1999-03-25,52.3100,1.023969,1.001713,0,-0.004756,0.000000
1999-03-26,51.7500,1.013007,1.001869,0,-0.015411,0.000000
1999-03-29,53.6300,1.049808,1.002025,0,0.000000,0.000000
1999-03-30,53.2500,1.042369,1.002181,0,-0.007086,0.000000
1999-03-31,52.4700,1.027101,1.002337,0,-0.021630,0.000000
1999-04-01,53.5600,1.048438,1.002493,0,-0.001305,0.000000
1999-04-05,55.5000,1.086413,1.002649,0,0.000000,0.000000
1999-04-06,55.6100,1.088566,1.002805,0,0.000000,0.000000
1999-04-07,55.0300,1.077213,1.002961,0,-0.010430,0.000000
1999-04-08,55.4700,1.085826,1.003118,0,-0.002518,0.000000
1999-04-09,55.8100,1.092481,1.003274,0,0.000000,0.000000
1999-04-12,55.4400,1.085239,1.003430,0,-0.006630,0.000000
1999-04-13,54.6900,1.070557,1.003586,0,-0.020068,0.000000
1999-04-14,52.8100,1.033756,1.003742,0,-0.053754,0.000000
1999-04-15,53.5300,1.047850,1.003899,0,-0.040853,0.000000
1999-04-16,51.9700,1.017313,1.004055,0,-0.068805,0.000000
1999-04-19,49.5300,0.969550,1.004211,0,-0.112525,0.000000
1999-04-20,50.6600,0.991670,1.004367,0,-0.092277,0.000000
1999-04-21,53.1600,1.040608,1.004524,0,-0.047483,0.000000
1999-04-22,54.5900,1.068600,1.004680,0,-0.021860,0.000000
1999-04-23,55.3100,1.082694,1.004836,0,-0.008959,0.000000
1999-04-26,56.5900,1.107750,1.004993,0,0.000000,0.000000
1999-04-27,55.7200,1.090720,1.005149,0,-0.015374,0.000000
1999-04-28,53.8100,1.053331,1.005306,0,-0.049125,0.000000
1999-04-29,53.3800,1.044914,1.005462,0,-0.056724,0.000000
1999-04-30,53.7200,1.051570,1.005619,0,-0.050716,0.000000
1999-05-03,53.4400,1.046089,1.005775,0,-0.055664,0.000000
1999-05-04,52.5900,1.029450,1.005932,0,-0.070684,0.000000
1999-05-05,54.1900,1.060770,1.006088,0,-0.042410,0.000000
1999-05-06,52.2200,1.022207,1.006245,0,-0.077222,0.000000
1999-05-07,52.9700,1.036888,1.006402,0,-0.063969,0.000000
1999-05-10,53.5000,1.047263,1.006558,0,-0.054603,0.000000
1999-05-11,54.3400,1.063706,1.006715,0,-0.039760,0.000000
1999-05-12,55.4700,1.085826,1.006872,0,-0.019791,0.000000
1999-05-13,54.4400,1.065664,1.007028,0,-0.037993,0.000000
1999-05-14,53.4100,1.045501,1.007185,0,-0.056194,0.000000
1999-05-17,54.3700,1.064293,1.007342,0,-0.039230,0.000000
1999-05-18,54.1300,1.059595,1.007499,0,-0.043471,0.000000
1999-05-19,54.8800,1.074277,1.007655,0,-0.030217,0.000000
1999-05-20,53.3700,1.044718,1.007812,0,-0.056901,0.000000
1999-05-21,52.8800,1.035127,1.007969,0,-0.065559,0.000000
1999-05-24,51.5300,1.008700,1.008126,0,-0.089415,0.000000
1999-05-25,49.8400,0.975618,1.008283,0,-0.119279,0.000000
1999-05-26,51.2300,1.002828,1.008440,0,-0.094716,0.000000
1999-05-27,51.1900,1.002045,1.008597,0,-0.095423,0.000000
1999-05-28,52.0300,1.018488,1.008754,0,-0.080580,0.000000
1999-06-01,50.8800,0.995976,1.008911,0,-0.100901,0.000000
1999-06-02,51.7300,1.012615,1.009068,0,-0.085881,0.000000
1999-06-03,51.0000,0.998325,1.009225,0,-0.098781,0.000000
1999-06-04,52.5600,1.028863,1.009382,0,-0.071214,0.000000
1999-06-07,53.6600,1.050395,1.009539,0,-0.051776,0.000000
1999-06-08,52.3100,1.023969,1.009696,0,-0.075632,0.000000
1999-06-09,53.1900,1.041195,1.009853,0,-0.060081,0.000000
