strategy,full_cagr,full_maxdd,modern_cagr,modern_maxdd,ret_win_1y,dd_win_1y
buy & hold QQQ,0.101766,-0.829827,0.144735,-0.535526,0.5000,1.0000
QQQ 50/200 (base),0.117321,-0.362657,0.125375,-0.285594,0.3333,0.7111
base & SPY>SMA200,0.082770,-0.493070,0.105681,-0.193645,0.2603,0.8190
base & SPY 50/200,0.108660,-0.362657,0.118816,-0.285594,0.3397,0.7651
base | SPY 50/200,0.107985,-0.362657,0.124683,-0.285594,0.3873,0.7143
base & QQQ>SPY RS100,0.082639,-0.285594,0.084902,-0.285594,0.2476,0.7524
base & QQQ>SPY RS50,0.064157,-0.298276,0.063758,-0.298276,0.2190,0.7873
base & DIA>SMA200,0.079148,-0.339128,0.098633,-0.213273,0.2603,0.8857
base & IWM>SMA200,0.097863,-0.362657,0.102977,-0.174792,0.3111,0.7524
base & risk-on vs TLT63,0.083052,-0.362657,0.087141,-0.268181,0.2603,0.8190
SPY 50/200 → QQQ,0.100769,-0.362657,0.119904,-0.285594,0.3651,0.7683
QQQ>SPY RS100 only,0.118954,-0.303123,0.109868,-0.285594,0.3206,0.6603
