date,bh,fixed_50_200,wf_anchored_calmar,wf_rolling5y_calmar
2009-02-19,0.968974,1.000156,1.000156,1.000156
2009-02-20,0.968974,1.000311,1.000311,1.000311
2009-02-23,0.928401,1.000467,1.000467,1.000467
2009-02-24,0.954654,1.000623,1.000623,1.000623
2009-02-25,0.957041,1.000778,1.000778,1.000778
2009-02-26,0.945107,1.000934,1.000934,1.000934
2009-02-27,0.942721,1.001090,1.001090,1.001090
2009-03-02,0.911695,1.001246,1.001246,1.001246
2009-03-03,0.914081,1.001402,1.001402,1.001402
2009-03-04,0.933174,1.001558,1.001558,1.001558
2009-03-05,0.902148,1.001713,1.001713,1.001713
2009-03-06,0.897375,1.001869,1.001869,1.001869
2009-03-09,0.875895,1.002025,1.002025,1.002025
2009-03-10,0.930788,1.002181,1.002181,1.002181
2009-03-11,0.954654,1.002337,1.002337,1.002337
2009-03-12,0.980907,1.002493,1.002493,1.002493
2009-03-13,0.980907,1.002649,1.002649,1.002649
2009-03-16,0.964200,1.002805,1.002805,1.002805
2009-03-17,0.997613,1.002961,1.002961,1.002961
2009-03-18,1.016706,1.003118,1.003118,1.003118
2009-03-19,1.019093,1.003274,1.003274,1.003274
2009-03-20,1.000000,1.003430,1.003430,1.003430
2009-03-23,1.062053,1.003586,1.003586,1.003586
2009-03-24,1.047733,1.003742,1.003742,1.003742
2009-03-25,1.052506,1.003899,1.003899,1.003899
2009-03-26,1.088305,1.004055,1.004055,1.004055
2009-03-27,1.062053,1.004211,1.004211,1.004211
2009-03-30,1.033413,1.004367,1.004367,1.004367
2009-03-31,1.050119,1.004524,1.004524,1.004524
2009-04-01,1.073986,1.004680,1.004680,1.004680
2009-04-02,1.105012,1.004836,1.004836,1.004836
2009-04-03,1.126492,1.004993,1.004993,1.004993
2009-04-06,1.112172,1.005149,1.005149,1.005149
2009-04-07,1.083532,1.005306,1.005306,1.005306
2009-04-08,1.102625,1.005462,1.005462,1.005462
2009-04-09,1.138425,1.005619,1.005619,1.005619
2009-04-13,1.133652,1.005775,1.005775,1.005775
2009-04-14,1.121718,1.005932,1.005932,1.005932
2009-04-15,1.116945,1.006088,1.006088,1.006088
2009-04-16,1.150358,1.006245,1.006245,1.006245
2009-04-17,1.150358,1.006402,1.006402,1.006402
2009-04-20,1.114558,1.006558,1.006558,1.006558
2009-04-21,1.136038,1.006715,1.006715,1.006715
2009-04-22,1.140811,1.006872,1.006872,1.006872
2009-04-23,1.143198,1.007028,1.007028,1.007028
2009-04-24,1.171838,1.007185,1.007185,1.007185
2009-04-27,1.164678,1.007342,1.007342,1.007342
2009-04-28,1.155131,1.007499,1.007499,1.007499
2009-04-29,1.181384,1.007655,1.007655,1.007655
2009-04-30,1.186158,1.007812,1.007812,1.007812
2009-05-01,1.195704,1.007969,1.007969,1.007969
2009-05-04,1.217184,1.008126,1.008126,1.008126
2009-05-05,1.210024,1.008283,1.008283,1.008283
2009-05-06,1.212411,1.008440,1.008440,1.008440
2009-05-07,1.174224,1.008597,1.008597,1.008597
2009-05-08,1.176611,1.008754,1.008754,1.008754
2009-05-11,1.176611,1.008911,1.008911,1.008911
2009-05-12,1.169451,1.009068,1.009068,1.009068
2009-05-13,1.138425,1.009225,1.009225,1.009225
2009-05-14,1.155131,1.009382,1.009382,1.009382
2009-05-15,1.155131,1.009539,1.009539,1.009539
2009-05-18,1.186158,1.009696,1.009696,1.009696
2009-05-19,1.193317,1.009853,1.009853,1.009853
2009-05-20,1.186158,1.010011,1.010011,1.010011
2009-05-21,1.169451,1.010168,1.010168,1.010168
2009-05-22,1.164678,1.010325,1.010325,1.010325
2009-05-26,1.202864,1.010482,1.010482,1.010482
2009-05-27,1.193317,1.010640,1.010640,1.010640
2009-05-28,1.207637,1.010797,1.010797,1.010797
2009-05-29,1.217184,1.010954,1.010954,1.010954
2009-06-01,1.262530,1.011112,1.011112,1.011112
2009-06-02,1.255370,1.004875,1.004875,1.004875
2009-06-03,1.248210,0.999144,0.999144,0.999144
2009-06-04,1.269690,1.016337,1.016337,1.016337
2009-06-05,1.274463,1.020158,1.020158,1.020158
2009-06-08,1.269690,1.016337,1.016337,1.016337
2009-06-09,1.284010,1.027800,1.027800,1.027800
2009-06-10,1.281623,1.025889,1.025889,1.025889
2009-06-11,1.288783,1.031620,1.031620,1.031620
