strategy,cagr,total_return,max_drawdown,vol,sharpe,sortino,calmar,pct_invested,trades,beats_bar
regime-stay 200,0.121619,21.739530,-0.513016,0.199690,0.4794,0.6765,0.2371,0.8124,77,true
SMA cross 50/200,0.118710,20.187578,-0.362657,0.181269,0.4944,0.6985,0.3273,0.7053,35,true
SMA150 slope,0.118252,19.952327,-0.362657,0.185227,0.4855,0.6871,0.3261,0.7214,41,true
regime-stay200 & cross,0.117052,19.349002,-0.362657,0.179525,0.4892,0.6900,0.3228,0.6939,41,true
regime-stay 150,0.116018,18.842693,-0.500311,0.200350,0.4534,0.6397,0.2319,0.8140,111,true
SMA cross 50/150,0.115388,18.539916,-0.362657,0.178685,0.4824,0.6784,0.3182,0.6954,41,true
trail-stop 15%,0.114724,18.225634,-0.681950,0.202311,0.4454,0.6188,0.1682,0.8876,47,true
trail-stop 25%,0.114329,18.041114,-0.769148,0.222358,0.4228,0.5889,0.1486,0.9429,19,true
trail18 & SMA200slope,0.113693,17.747464,-0.742577,0.225421,0.4175,0.5863,0.1531,0.9295,29,true
trail-stop 22%,0.113527,17.671664,-0.694263,0.216634,0.4249,0.5904,0.1635,0.9305,25,true
SMA cross 100/200,0.111403,16.725837,-0.409280,0.186299,0.4508,0.6349,0.2722,0.7059,29,true
trail-stop 18%,0.107361,15.052367,-0.726832,0.208908,0.4061,0.5625,0.1477,0.9137,35,true
CCI(40)>0,0.105113,14.188609,-0.279576,0.159041,0.4627,0.6477,0.3760,0.6403,417,true
ADX trend thr=15,0.103423,13.568915,-0.276023,0.138301,0.4985,0.7220,0.3747,0.4594,523,true
buy & hold,0.103098,13.452425,-0.829827,0.269045,0.3539,0.5057,0.1242,0.9999,1,false
EMA filter 200,0.100956,12.707828,-0.487953,0.172024,0.4185,0.5754,0.2069,0.7509,193,false
SMA200 slope,0.100512,12.558192,-0.362657,0.183844,0.4007,0.5612,0.2772,0.7309,35,false
SMA filter 50,0.098444,11.881274,-0.365947,0.160071,0.4229,0.5896,0.2690,0.6463,427,false
DI trend (+DI>-DI),0.097074,11.451282,-0.268153,0.146847,0.4384,0.6280,0.3620,0.5388,641,false
EMA filter 100,0.096891,11.394835,-0.450685,0.162499,0.4103,0.5665,0.2150,0.7069,337,false
SMA filter 175,0.096214,11.188357,-0.648402,0.164620,0.4035,0.5518,0.1484,0.7078,179,false
SMA cross 20/100,0.094187,10.589397,-0.480978,0.172041,0.3826,0.5272,0.1958,0.6859,71,false
SMA cross 20/200,0.093678,10.443449,-0.362657,0.176147,0.3750,0.5192,0.2583,0.7075,51,false
SMA filter 250,0.092187,10.026488,-0.381161,0.163189,0.3829,0.5281,0.2419,0.7136,155,false
EMA filter 150,0.087001,8.686574,-0.611326,0.167155,0.3493,0.4761,0.1423,0.7339,271,false
SMA filter 200,0.086169,8.486696,-0.563969,0.165039,0.3469,0.4762,0.1528,0.7081,177,false
SMA filter 100,0.084805,8.167670,-0.484301,0.158280,0.3468,0.4766,0.1751,0.6811,303,false
SMA filter 150,0.082174,7.581327,-0.725703,0.163264,0.3264,0.4436,0.1132,0.7129,241,false
SMA filter 125,0.081796,7.500093,-0.502641,0.160466,0.3269,0.4471,0.1627,0.7017,281,false
ADX trend thr=20,0.077675,6.661359,-0.171207,0.118851,0.3599,0.5196,0.4537,0.3191,353,false
Awesome>0,0.075656,6.280090,-0.452800,0.161875,0.2902,0.4009,0.1671,0.6335,289,false
SMA200 | MACD,0.073401,5.875996,-0.791014,0.210950,0.2562,0.3527,0.0928,0.8455,253,false
RSI(14)>50,0.063437,4.334476,-0.486914,0.159048,0.2206,0.3027,0.1303,0.6327,771,false
ADX trend thr=25,0.063124,4.291817,-0.147757,0.095790,0.2785,0.4036,0.4272,0.2011,199,false
SMA200 & ADX20,0.058374,3.684603,-0.147757,0.090678,0.2397,0.3326,0.3951,0.2751,305,false
MACD & RSI>50,0.055500,3.350401,-0.427369,0.128944,0.1801,0.2483,0.1299,0.4286,658,false
SMA200 & DI,0.054654,3.256417,-0.423919,0.113108,0.1812,0.2474,0.1289,0.4582,561,false
SMA150 & MACD,0.045781,2.381960,-0.546581,0.104324,0.1063,0.1422,0.0838,0.3810,496,false
SMA200 & MACD,0.045079,2.320754,-0.409905,0.102947,0.0998,0.1332,0.1100,0.3718,478,false
MACD hist>0,0.034764,1.535020,-0.705693,0.167168,0.0540,0.0737,0.0493,0.5118,554,false
MACD cross,0.032757,1.404490,-0.720995,0.166909,0.0422,0.0575,0.0454,0.5092,556,false
