date,bh,fixed_50_200,wf_anchored_calmar,wf_rolling5y_calmar
2004-03-15,0.982540,0.982540,1.000156,1.000156
2004-03-16,0.984230,0.984230,1.000311,1.000311
2004-03-17,0.999718,0.999718,1.000467,1.000467
2004-03-18,0.995213,0.995213,1.000623,1.000623
2004-03-19,0.978598,0.978598,1.000778,1.000778
2004-03-22,0.966207,0.966207,1.000934,1.000934
2004-03-23,0.958322,0.958322,1.001090,1.001090
2004-03-24,0.969304,0.969304,1.001246,1.001246
2004-03-25,0.995213,0.995213,1.001402,1.001402
2004-03-26,0.991833,0.991833,1.001558,1.001558
2004-03-29,1.007885,1.007885,1.001713,1.001713
2004-03-30,1.011264,1.011264,1.001869,1.001869
2004-03-31,1.009293,1.009293,1.002025,1.002025
2004-04-01,1.018305,1.018305,1.010467,1.010467
2004-04-02,1.044776,1.044776,1.036734,1.036734
2004-04-05,1.054632,1.054632,1.046515,1.046515
2004-04-06,1.041397,1.041397,1.033381,1.033381
2004-04-07,1.040270,1.040270,1.032263,1.032263
2004-04-08,1.040270,1.040270,1.032263,1.032263
2004-04-12,1.046747,1.046747,1.038690,1.038690
2004-04-13,1.031540,1.031540,1.023600,1.023600
2004-04-14,1.036609,1.036609,1.028630,1.028630
2004-04-15,1.018023,1.018023,1.010187,1.010187
2004-04-16,1.016333,1.016333,1.009839,1.009839
2004-04-19,1.028724,1.028724,1.009996,1.009996
2004-04-20,1.004787,1.004787,1.010154,1.010154
2004-04-21,1.013517,1.013517,1.010311,1.010311
2004-04-22,1.039707,1.039707,1.010468,1.010468
2004-04-23,1.047874,1.047874,1.010625,1.010625
2004-04-26,1.040270,1.040270,1.010783,1.010783
2004-04-27,1.038299,1.038299,1.010940,1.010940
2004-04-28,1.019431,1.019431,1.011097,1.011097
2004-04-29,1.003661,1.003661,1.011255,1.011255
2004-04-30,0.979161,0.979161,1.011412,1.011412
2004-05-03,0.988454,0.988454,1.011569,1.011569
2004-05-04,0.992678,0.992678,1.011727,1.011727
2004-05-05,1.000563,1.000563,1.011884,1.011884
2004-05-06,0.992960,0.992960,1.012042,1.012042
2004-05-07,0.984793,0.984793,1.012199,1.012199
2004-05-10,0.976345,0.976345,1.012357,1.012357
2004-05-11,0.990988,0.990988,1.012515,1.012515
2004-05-12,0.992960,0.992960,1.012672,1.012672
2004-05-13,0.985919,0.985919,1.012830,1.012830
2004-05-14,0.978598,0.978598,1.012987,1.012987
2004-05-17,0.969304,0.969304,1.013145,1.013145
