date,bh,fixed_50_200,wf_anchored_calmar,wf_rolling5y_calmar
2006-07-20,0.975744,1.000156,1.000156,1.000156
2006-07-21,0.935502,1.000311,1.000311,1.000311
2006-07-24,0.963065,1.000467,1.000467,1.000467
2006-07-25,0.979603,1.000623,1.000623,1.000623
2006-07-26,0.982359,1.000778,1.000778,1.000778
2006-07-27,0.986770,1.000934,1.000934,1.000934
2006-07-28,1.015987,1.001090,1.001090,1.001090
2006-07-31,1.019294,1.001246,1.001246,1.001246
2006-08-01,0.998346,1.001402,1.001402,1.001402
2006-08-02,1.009372,1.001558,1.001558,1.001558
2006-08-03,1.025910,1.001713,1.001713,1.001713
2006-08-04,1.017089,1.001869,1.001869,1.001869
2006-08-07,1.011577,1.002025,1.002025,1.002025
2006-08-08,1.006064,1.002181,1.002181,1.002181
2006-08-09,1.010474,1.002337,1.002337,1.002337
2006-08-10,1.023153,1.002493,1.002493,1.002493
2006-08-11,0.996692,1.002649,1.002649,1.002649
2006-08-14,1.010474,1.002805,1.002805,1.002805
2006-08-15,1.047960,1.002961,1.002961,1.002961
2006-08-16,1.082139,1.003118,1.003118,1.003118
2006-08-17,1.084344,1.003274,1.003274,1.003274
2006-08-18,1.084895,1.003430,1.003430,1.003430
2006-08-21,1.067255,1.003586,1.003586,1.003586
2006-08-22,1.065050,1.003742,1.003742,1.003742
2006-08-23,1.057883,1.003899,1.003899,1.003899
2006-08-24,1.065050,1.004055,1.004055,1.004055
2006-08-25,1.065601,1.004211,1.004211,1.004211
2006-08-28,1.081036,1.004367,1.004367,1.004367
2006-08-29,1.100882,1.004524,1.004524,1.004524
2006-08-30,1.122381,1.004680,1.004680,1.004680
2006-08-31,1.110805,1.004836,1.004836,1.004836
2006-09-01,1.100882,1.004993,1.004993,1.004993
2006-09-05,1.114112,1.005149,1.005149,1.005149
2006-09-06,1.078280,1.005306,1.005306,1.005306
2006-09-07,1.074421,1.005462,1.005462,1.005462
2006-09-08,1.084895,1.005619,1.005619,1.005619
2006-09-11,1.104190,1.005775,1.005775,1.005775
2006-09-12,1.141676,1.005932,1.005932,1.005932
2006-09-13,1.136163,1.006088,1.006088,1.006088
2006-09-14,1.140022,1.006245,1.006245,1.006245
2006-09-15,1.138368,1.006402,1.006402,1.006402
2006-09-18,1.152701,1.006558,1.006558,1.006558
2006-09-19,1.133958,1.006715,1.006715,1.006715
2006-09-20,1.142778,1.006872,1.006872,1.006872
2006-09-21,1.120728,1.007028,1.007028,1.007028
2006-09-22,1.107497,1.007185,1.007185,1.007185
2006-09-25,1.134509,1.007342,1.007342,1.007342
2006-09-26,1.133958,1.007499,1.007499,1.007499
2006-09-27,1.129548,1.007655,1.007655,1.007655
2006-09-28,1.141676,1.007812,1.007812,1.007812
2006-09-29,1.129548,1.007969,1.007969,1.007969
2006-10-02,1.119074,1.008126,1.008126,1.008126
