"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"1998-01-20T05:00:00.000Z","77.81","78.84","77.41","78.81","1,743,200","","","","","","","","","","","","",""
"1998-01-21T05:00:00.000Z","78.09","78.38","77.28","77.84","1,839,600","","","78.33","","","","","","","","","",""
"1998-01-22T05:00:00.000Z","77.19","77.86","76.94","77.19","1,662,600","","","77.52","","","","","","","","","",""
"1998-01-23T05:00:00.000Z","77.50","77.75","76.31","77.00","1,693,700","","","77.09","","","","","","","","","",""
"1998-01-26T05:00:00.000Z","77.38","77.67","76.94","77.31","1,172,800","","","77.16","","","","","","","","","",""
"1998-01-27T05:00:00.000Z","77.13","78.56","77.08","78.22","1,454,500","","","77.77","","","","","","","","","",""
"1998-01-28T05:00:00.000Z","78.38","79.23","78.22","79.13","1,181,200","","","78.67","","","","","","","","","",""
"1998-01-29T05:00:00.000Z","79.06","80.25","78.89","79.41","1,468,500","","","79.27","","","","","","","","","",""
"1998-01-30T05:00:00.000Z","79.94","79.94","78.97","79.23","1,095,600","","","79.32","","","","","","","","","",""
"1998-02-02T05:00:00.000Z","80.63","81.31","80.41","81.02","955,600","","","80.13","","","","","","","","","",""
"1998-02-03T05:00:00.000Z","81.00","81.67","80.66","81.66","619,400","","","81.34","","","","","","","","","",""
"1998-02-04T05:00:00.000Z","81.22","81.66","80.81","81.22","753,200","","","81.44","","","","","","","","","",""
"1998-02-05T05:00:00.000Z","81.81","81.91","80.73","81.23","1,067,600","","","81.23","","","","","","","79.01","","",""
"1998-02-06T05:00:00.000Z","81.50","82.17","81.36","82.11","1,069,700","","","81.67","","","","","","","79.29","","",""
"1998-02-09T05:00:00.000Z","82.09","82.25","81.44","81.78","515,900","","","81.95","","","","","","","79.60","30.08","6.70",""
"1998-02-10T05:00:00.000Z","82.03","83.34","81.92","83.16","892,100","","","82.47","","","","","","","79.97","33.81","6.08",""
"1998-02-11T05:00:00.000Z","82.97","83.39","82.84","83.16","515,000","","","83.16","","","","","","","80.39","32.95","5.87",""
"1998-02-12T05:00:00.000Z","82.73","84.11","82.38","83.69","1,065,000","","","83.42","","","","","","","80.81","33.84","5.26",""
"1998-02-13T05:00:00.000Z","83.34","83.84","83.17","83.64","596,700","","","83.66","","","","","","","81.28","32.43","5.04",""
"1998-02-17T05:00:00.000Z","84.31","84.72","83.89","84.06","840,600","","","83.85","","","","","","","81.74","35.70","4.70",""
"1998-02-18T05:00:00.000Z","84.08","84.70","83.84","84.63","773,000","","","84.34","","","","","","","82.13","33.75","4.74",""
"1998-02-19T05:00:00.000Z","84.64","84.70","83.83","83.83","804,800","","","84.23","","","","","","","82.49","31.85","4.58",""
"1998-02-20T05:00:00.000Z","84.08","84.47","83.31","84.28","540,600","","","84.05","","","","","","","82.75","29.48","7.55",""
"1998-02-23T05:00:00.000Z","85.00","85.00","83.97","84.25","639,200","","","84.27","","","","","","","83.06","30.95","7.05",""
"1998-02-24T05:00:00.000Z","84.13","84.41","83.53","84.00","702,700","","","84.13","","","","","","","83.29","29.18","9.51",""
"1998-02-25T05:00:00.000Z","84.25","85.16","84.08","84.69","687,400","","","84.34","","","","2.08","","","83.47","31.87","8.79",""
"1998-02-26T05:00:00.000Z","84.61","85.22","84.41","85.16","439,800","","","84.92","","","","2.06","","","83.71","30.56","8.32",""
"1998-02-27T05:00:00.000Z","85.11","85.95","84.89","85.59","451,300","","","85.38","","","","2.05","","","83.94","33.29","7.73","61.64"
"1998-03-02T05:00:00.000Z","85.75","85.86","85.28","85.72","1,062,800","","","85.66","","","","2.04","","","84.23","31.96","7.42","61.69"
"1998-03-03T05:00:00.000Z","85.22","86.13","85.19","86.11","596,600","","81.97","85.91","","","","2.03","","","84.40","31.73","6.94","61.86"
"1998-03-04T05:00:00.000Z","85.63","85.88","85.11","85.53","691,700","","82.19","85.82","","","","1.96","","","84.63","29.53","7.00","61.85"
"1998-03-05T05:00:00.000Z","84.50","85.27","84.22","84.78","778,300","","82.43","85.16","","","","1.82","","","84.72","26.89","12.44","60.05"
"1998-03-06T05:00:00.000Z","85.09","86.03","85.09","86.03","933,100","","82.72","85.41","","","","1.79","","","84.78","29.77","11.39","58.95"
"1998-03-09T05:00:00.000Z","85.63","86.58","85.59","85.88","685,300","","83.02","85.95","","3.24","","1.73","1.95","-0.2196","84.89","31.49","10.64","58.28"
"1998-03-10T05:00:00.000Z","86.38","86.75","86.16","86.72","563,700","","83.33","86.30","","3.15","","1.73","1.91","-0.1732","85.03","30.78","10.00","57.75"
"1998-03-11T05:00:00.000Z","86.94","87.23","86.73","87.00","406,600","","83.62","86.86","","3.18","","1.74","1.87","-0.1344","85.25","33.09","9.63","57.55"
"1998-03-12T05:00:00.000Z","86.94","87.06","86.31","86.89","576,700","","83.88","86.95","","3.30","","1.71","1.84","-0.1272","85.40","31.30","12.16","56.58"
"1998-03-13T05:00:00.000Z","87.19","87.25","86.09","86.16","458,900","","84.11","86.52","","3.24","","1.62","1.80","-0.1796","85.63","28.71","12.72","55.30"
"1998-03-16T05:00:00.000Z","86.56","87.47","86.34","87.47","733,000","","84.38","86.81","","3.12","","1.63","1.76","-0.1357","85.81","27.61","11.55","54.28"
"1998-03-17T05:00:00.000Z","87.28","87.78","87.08","87.77","499,900","113.98","84.61","87.62","83.08","3.03","","1.64","1.74","-0.0981","86.02","28.45","10.97","53.57"
"1998-03-18T05:00:00.000Z","87.59","88.02","87.28","87.98","410,900","115.78","84.82","87.88","83.31","2.90","","1.65","1.72","-0.0714","86.21","28.64","10.39","53.08"
"1998-03-19T05:00:00.000Z","88.00","88.30","87.84","88.23","730,000","121.89","85.05","88.11","83.57","2.93","","1.66","1.71","-0.0506","86.38","29.79","10.03","52.84"
"1998-03-20T05:00:00.000Z","88.56","89.41","88.28","89.16","754,300","140.26","85.31","88.70","83.87","3.09","","1.72","1.71","0.0084","86.64","35.45","9.15","53.27"
"1998-03-23T05:00:00.000Z","89.19","89.19","88.39","88.48","551,600","131.25","85.53","88.82","84.16","3.23","","1.69","1.71","-0.0136","86.91","33.32","8.60","53.68"
"1998-03-24T05:00:00.000Z","88.97","89.86","88.92","89.44","470,300","147.89","85.78","88.96","84.46","3.38","","1.73","1.71","0.0186","87.25","34.88","7.74","54.39"
"1998-03-25T05:00:00.000Z","90.06","90.06","88.25","88.88","966,200","133.08","85.97","89.16","84.73","3.45","","1.69","1.71","-0.0136","87.64","30.53","11.40","53.77"
"1998-03-26T05:00:00.000Z","88.84","89.30","88.52","88.63","412,800","120.53","86.16","88.75","84.97","3.39","","1.63","1.69","-0.0647","87.88","28.86","10.78","53.18"
"1998-03-27T05:00:00.000Z","89.34","89.41","87.88","88.27","584,100","106.69","86.31","88.45","85.19","3.15","","1.53","1.66","-0.1316","88.11","25.87","13.99","51.51"
"1998-03-30T05:00:00.000Z","88.28","88.56","87.69","88.16","562,400","91.25","86.46","88.21","85.41","2.83","","1.42","1.61","-0.1888","88.22","24.32","14.44","49.66"
"1998-03-31T05:00:00.000Z","88.47","89.31","88.06","88.19","620,000","99.90","86.60","88.17","85.59","2.51","","1.33","1.55","-0.2274","88.33","27.33","13.22","48.59"
"1998-04-01T05:00:00.000Z","88.36","89.20","87.72","88.94","373,700","98.71","86.74","88.56","85.77","2.22","","1.30","1.50","-0.2060","88.42","24.67","14.19","47.05"
"1998-04-02T05:00:00.000Z","88.91","90.25","88.83","90.16","440,600","130.10","86.95","89.55","85.99","2.16","","1.36","1.47","-0.1177","88.60","29.14","12.89","46.45"
"1998-04-03T05:00:00.000Z","90.25","90.58","89.81","90.09","493,300","136.99","87.14","90.13","86.22","2.27","","1.38","1.46","-0.0737","88.83","29.83","12.24","46.12"
"1998-04-06T04:00:00.000Z","90.88","91.25","90.34","90.38","610,500","145.96","87.35","90.23","86.42","2.62","","1.41","1.45","-0.0375","89.09","31.97","11.32","46.23"
"1998-04-07T04:00:00.000Z","90.38","90.39","89.25","89.89","707,300","113.29","87.54","90.13","86.63","2.68","","1.37","1.43","-0.0569","89.27","29.59","17.61","44.74"
"1998-04-08T04:00:00.000Z","90.06","90.06","88.83","89.28","949,500","93.04","87.70","89.59","86.78","2.73","","1.28","1.40","-0.1181","89.38","27.23","18.93","42.83"
"1998-04-09T04:00:00.000Z","89.66","90.47","89.63","90.38","451,700","114.06","87.87","89.83","86.96","2.65","","1.29","1.38","-0.0932","89.42","27.76","17.48","41.40"
"1998-04-13T04:00:00.000Z","90.73","90.73","89.56","90.34","337,900","110.63","88.03","90.36","87.13","2.47","","1.27","1.36","-0.0873","89.56","27.38","16.17","40.28"
"1998-04-14T04:00:00.000Z","90.53","91.52","90.53","91.44","451,500","136.45","88.22","90.89","87.32","2.31","","1.33","1.35","-0.0216","89.59","30.32","14.96","39.82"
