"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2004-11-18T05:00:00.000Z","44.43","44.49","44.07","44.38","5,992,000","","","","","","","","","","","","",""
"2004-11-19T05:00:00.000Z","44.49","44.92","44.47","44.78","11,655,301","","","44.58","","","","","","","","","",""
"2004-11-22T05:00:00.000Z","44.75","44.97","44.74","44.95","11,996,000","","","44.87","","","","","","","","","",""
"2004-11-23T05:00:00.000Z","44.88","44.92","44.72","44.75","3,169,200","","","44.85","","","","","","","","","",""
"2004-11-24T05:00:00.000Z","44.93","45.05","44.79","45.05","6,105,102","","","44.90","","","","","","","","","",""
"2004-11-26T05:00:00.000Z","45.25","45.60","45.06","45.29","3,097,700","","","45.17","","","","","","","","","",""
"2004-11-29T05:00:00.000Z","45.10","45.50","45.08","45.40","3,759,000","","","45.35","","","","","","","","","",""
"2004-11-30T05:00:00.000Z","45.37","45.41","44.82","45.12","3,859,100","","","45.26","","","","","","","","","",""
"2004-12-01T05:00:00.000Z","45.28","45.59","45.26","45.38","2,037,500","","","45.25","","","","","","","","","",""
"2004-12-02T05:00:00.000Z","45.55","45.57","44.68","44.95","6,457,801","","","45.16","","","","","","","","","",""
"2004-12-03T05:00:00.000Z","45.04","46.00","44.80","45.60","4,218,301","","","45.27","","","","","","","","","",""
"2004-12-06T05:00:00.000Z","45.39","45.47","45.11","45.17","3,103,000","","","45.38","","","","","","","","","",""
"2004-12-07T05:00:00.000Z","45.30","45.32","45.07","45.11","3,809,400","","","45.14","","","","","","","45.06","","",""
"2004-12-08T05:00:00.000Z","43.80","44.02","43.36","44.01","6,150,500","","","44.56","","","","","","","45.01","","",""
"2004-12-09T05:00:00.000Z","43.75","43.90","43.20","43.78","3,553,400","","","43.89","","","","","","","44.95","20.30","31.77",""
"2004-12-10T05:00:00.000Z","43.37","43.60","43.31","43.44","2,464,300","","","43.61","","","","","","","44.85","19.18","30.02",""
"2004-12-13T05:00:00.000Z","43.61","44.01","43.51","43.91","1,445,100","","","43.67","","","","","","","44.75","22.75","28.00",""
"2004-12-14T05:00:00.000Z","43.76","43.80","43.51","43.55","2,240,600","","","43.73","","","","","","","44.66","21.65","26.66",""
"2004-12-15T05:00:00.000Z","44.10","44.17","43.92","43.99","2,641,400","","","43.77","","","","","","","44.57","24.48","24.68",""
"2004-12-16T05:00:00.000Z","43.99","44.05","43.58","43.68","3,269,800","","","43.84","","","","","","","44.49","23.08","27.40",""
"2004-12-17T05:00:00.000Z","43.93","44.22","43.78","44.19","1,889,300","","","43.94","","","","","","","44.37","23.63","25.59",""
"2004-12-20T05:00:00.000Z","44.33","44.37","44.13","44.34","1,942,100","","","44.27","","","","","","","44.30","24.83","24.81",""
"2004-12-21T05:00:00.000Z","44.13","44.24","44.05","44.22","1,373,400","","","44.28","","","","","","","44.19","23.87","24.91",""
"2004-12-22T05:00:00.000Z","44.20","44.23","43.89","44.02","2,706,800","","","44.12","","","","","","","44.13","22.77","25.94",""
"2004-12-23T05:00:00.000Z","44.17","44.35","44.05","44.27","639,800","","","44.15","","","","","","","44.03","23.40","24.74",""
"2004-12-27T05:00:00.000Z","44.29","44.56","44.27","44.48","2,643,700","","","44.38","","","","-0.2987","","","43.96","25.44","23.71",""
"2004-12-28T05:00:00.000Z","44.42","44.47","44.29","44.37","773,200","","","44.42","","","","-0.2656","","","44.00","24.72","23.03",""
"2004-12-29T05:00:00.000Z","43.92","44.02","43.35","43.66","5,633,500","","","44.02","","","","-0.2933","","","44.02","21.21","32.85","6.87"
"2004-12-30T05:00:00.000Z","43.50","43.88","43.49","43.83","1,289,700","","","43.75","","","","-0.2980","","","44.03","20.03","31.03","7.92"
"2004-12-31T05:00:00.000Z","43.85","43.94","43.73","43.80","531,600","","44.45","43.82","","","","-0.3008","","","44.05","20.30","30.07","8.74"
"2005-01-03T05:00:00.000Z","42.98","43.17","42.74","43.02","4,750,500","","44.40","43.41","","","","-0.3617","","","43.99","17.37","39.21","10.87"
"2005-01-04T05:00:00.000Z","42.80","42.91","42.46","42.74","3,456,800","","44.34","42.88","","","","-0.4277","","","43.89","16.05","40.03","13.15"
"2005-01-05T05:00:00.000Z","42.75","42.88","42.60","42.67","2,108,700","","44.26","42.71","","","","-0.4801","","","43.79","15.42","38.46","15.27"
"2005-01-06T05:00:00.000Z","42.48","42.56","42.07","42.15","2,556,400","","44.17","42.41","","-1.30","","-0.5571","-0.3648","-0.1924","43.68","14.14","42.60","17.76"
"2005-01-07T05:00:00.000Z","42.09","42.39","41.70","41.84","4,492,699","","44.07","42.00","","-1.59","","-0.6359","-0.4190","-0.2169","43.51","12.82","43.63","20.39"
"2005-01-10T05:00:00.000Z","41.99","42.07","41.89","41.95","1,026,100","","43.95","41.90","","-1.71","","-0.6816","-0.4715","-0.2101","43.34","12.40","42.22","22.83"
"2005-01-11T05:00:00.000Z","42.21","42.28","42.12","42.21","1,507,300","","43.85","42.08","","-1.73","","-0.6889","-0.5150","-0.1739","43.19","14.85","40.20","24.49"
"2005-01-12T05:00:00.000Z","42.52","42.79","42.48","42.60","1,738,000","","43.76","42.41","","-1.68","","-0.6556","-0.5431","-0.1125","43.06","20.90","36.88","24.72"
"2005-01-13T05:00:00.000Z","42.39","42.60","42.34","42.60","718,300","","43.67","42.60","","-1.58","","-0.6221","-0.5589","-0.0632","42.92","20.09","37.53","25.11"
"2005-01-14T05:00:00.000Z","42.19","42.32","42.13","42.32","1,262,300","-130.45","43.58","42.46","43.94","-1.45","","-0.6111","-0.5693","-0.0417","42.74","18.70","38.03","25.75"
"2005-01-18T05:00:00.000Z","42.22","42.38","42.15","42.32","666,800","-119.98","43.47","42.32","43.89","-1.31","","-0.5955","-0.5746","-0.0209","42.61","18.96","36.68","26.19"
"2005-01-19T05:00:00.000Z","42.65","42.65","42.20","42.26","1,578,900","-107.32","43.38","42.29","43.82","-1.18","","-0.5812","-0.5759","-0.0053","42.55","21.80","34.13","25.89"
"2005-01-20T05:00:00.000Z","42.12","42.32","42.11","42.25","1,276,200","-111.01","43.28","42.26","43.76","-1.17","","-0.5643","-0.5736","0.0093","42.41","21.07","34.43","25.76"
"2005-01-21T05:00:00.000Z","42.32","42.82","42.29","42.74","889,800","-77.98","43.24","42.50","43.71","-1.08","","-0.5055","-0.5599","0.0545","42.36","27.05","31.34","24.45"
"2005-01-24T05:00:00.000Z","42.74","42.82","42.67","42.77","2,294,900","-64.32","43.21","42.76","43.65","-0.8992","","-0.4512","-0.5382","0.0870","42.36","26.38","30.57","23.23"
"2005-01-25T05:00:00.000Z","42.53","42.56","42.10","42.24","1,332,500","-91.68","43.17","42.51","43.57","-0.7991","","-0.4459","-0.5197","0.0739","42.34","23.57","36.37","23.09"
"2005-01-26T05:00:00.000Z","42.59","42.78","42.56","42.69","541,800","-60.52","43.13","42.47","43.51","-0.6759","","-0.4007","-0.4959","0.0952","42.35","25.02","33.29","22.46"
"2005-01-27T05:00:00.000Z","42.48","42.65","42.40","42.62","571,200","-65.59","43.09","42.66","43.44","-0.5796","","-0.3663","-0.4700","0.1037","42.38","23.85","34.31","22.14"
"2005-01-28T05:00:00.000Z","42.71","42.73","42.43","42.69","1,149,100","-57.52","43.05","42.66","43.38","-0.5461","","-0.3296","-0.4419","0.1123","42.44","23.99","32.62","21.65"
"2005-01-31T05:00:00.000Z","42.21","42.30","41.96","42.22","1,692,400","-88.44","43.00","42.46","43.31","-0.6301","","-0.3346","-0.4205","0.0858","42.44","21.24","36.26","21.96"
"2005-02-01T05:00:00.000Z","42.09","42.14","41.95","42.10","1,088,900","-92.38","42.93","42.16","43.22","-0.6366","","-0.3443","-0.4052","0.0609","42.40","20.31","34.84","22.28"
"2005-02-02T05:00:00.000Z","42.22","42.23","42.02","42.16","956,500","-83.41","42.86","42.13","43.15","-0.7006","","-0.3432","-0.3928","0.0497","42.39","21.11","33.61","22.32"
"2005-02-03T05:00:00.000Z","41.56","41.74","41.50","41.68","2,446,400","-122.01","42.78","41.92","43.06","-0.8103","","-0.3767","-0.3896","0.0129","42.34","18.86","38.43","23.16"
"2005-02-04T05:00:00.000Z","41.59","41.65","41.39","41.47","1,819,400","-127.61","42.69","41.58","43.00","-0.9548","","-0.4154","-0.3947","-0.0206","42.29","17.95","38.41","24.10"
"2005-02-07T05:00:00.000Z","41.55","41.55","41.21","41.27","1,754,000","-134.20","42.59","41.37","42.93","-1.03","","-0.4569","-0.4072","-0.0497","42.21","16.92","39.24","25.22"
"2005-02-08T05:00:00.000Z","41.19","41.40","41.05","41.26","1,296,800","-135.93","42.48","41.27","42.88","-1.10","","-0.4850","-0.4227","-0.0623","42.14","15.91","39.62","26.47"
"2005-02-09T05:00:00.000Z","41.03","41.36","41.02","41.31","3,477,900","-131.44","42.38","41.29","42.81","-1.20","","-0.4976","-0.4377","-0.0599","42.04","14.98","37.81","27.66"
"2005-02-10T05:00:00.000Z","41.53","41.84","41.45","41.75","7,774,500","-90.86","42.32","41.53","42.77","-1.13","","-0.4666","-0.4435","-0.0231","41.94","21.76","34.42","27.30"
"2005-02-11T05:00:00.000Z","41.89","42.16","41.83","42.08","1,896,500","-59.95","42.26","41.92","42.72","-0.9670","","-0.4107","-0.4369","0.0262","41.90","25.68","32.03","26.13"
"2005-02-14T05:00:00.000Z","42.37","42.63","42.32","42.55","2,351,800","-15.91","42.22","42.32","42.69","-0.6909","43.33","-0.3248","-0.4145","0.0897","41.88","31.14","29.10","24.51"
"2005-02-15T05:00:00.000Z","42.40","42.60","42.34","42.58","1,559,900","-12.46","42.20","42.57","42.65","-0.3857","43.30","-0.2513","-0.3819","0.1306","41.87","29.75","27.81","23.00"
"2005-02-16T05:00:00.000Z","42.32","42.60","42.20","42.52","1,820,300","-15.56","42.20","42.55","42.61","-0.1059","43.27","-0.1957","-0.3446","0.1489","41.84","27.71","28.30","21.43"
"2005-02-17T05:00:00.000Z","42.52","42.81","42.51","42.73","3,054,200","14.81","42.20","42.63","42.57","0.1272","43.23","-0.1331","-0.3023","0.1692","41.87","29.93","26.82","20.29"
"2005-02-18T05:00:00.000Z","42.71","42.82","42.64","42.75","863,200","26.14","42.22","42.74","42.54","0.3067","43.20","-0.0810","-0.2581","0.1771","41.91","29.13","25.94","19.26"
"2005-02-22T05:00:00.000Z","43.39","43.63","43.20","43.57","3,378,500","120.52","42.28","43.16","42.52","0.4812","43.17","0.0262","-0.2012","0.2274","42.00","38.39","22.12","19.80"
"2005-02-23T05:00:00.000Z","43.29","43.55","43.15","43.42","1,534,900","118.07","42.32","43.50","42.49","0.6376","43.14","0.0979","-0.1414","0.2393","42.14","35.69","21.40","20.18"
"2005-02-24T05:00:00.000Z","43.48","43.48","43.20","43.33","1,219,300","122.96","42.36","43.38","42.47","0.8080","43.10","0.1458","-0.0840","0.2297","42.28","33.98","20.37","20.52"
"2005-02-25T05:00:00.000Z","43.41","43.55","43.22","43.50","1,100,100","137.63","42.39","43.42","42.46","0.9215","43.08","0.1952","-0.0281","0.2233","42.43","33.24","19.20","20.97"
"2005-02-28T05:00:00.000Z","43.68","43.74","43.52","43.52","759,100","163.09","42.42","43.51","42.46","1.05","43.05","0.2333","0.0241","0.2091","42.62","35.22","18.37","21.72"
"2005-03-01T05:00:00.000Z","43.30","43.37","43.10","43.22","3,245,500","117.42","42.45","43.37","42.44","0.9820","43.02","0.2365","0.0666","0.1699","42.79","32.58","24.51","21.18"
"2005-03-02T05:00:00.000Z","43.16","43.35","43.08","43.25","1,188,000","114.54","42.48","43.24","42.45","0.9251","42.98","0.2388","0.1011","0.1377","42.92","30.97","23.66","20.62"
"2005-03-03T05:00:00.000Z","43.06","43.13","42.90","42.97","1,924,600","79.72","42.51","43.11","42.45","0.8489","42.94","0.2155","0.1239","0.0915","43.01","28.97","25.45","19.61"
"2005-03-04T05:00:00.000Z","43.33","43.52","43.31","43.38","915,000","129.67","42.54","43.18","42.47","0.8271","42.91","0.2275","0.1446","0.0828","43.08","33.10","22.95","19.50"
