"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2000-05-26T04:00:00.000Z","45.53","45.72","45.28","45.72","76,800","","","","","","","","","","","","",""
"2000-05-30T04:00:00.000Z","46.38","47.41","46.38","47.41","57,600","","","46.56","","","","","","","","","",""
"2000-05-31T04:00:00.000Z","47.56","48.19","47.56","47.58","36,000","","","47.49","","","","","","","","","",""
"2000-06-01T04:00:00.000Z","48.55","48.66","48.55","48.66","7,000.00","","","48.12","","","","","","","","","",""
"2000-06-02T04:00:00.000Z","50.86","51.19","50.86","51.19","29,400","","","49.92","","","","","","","","","",""
"2000-06-05T04:00:00.000Z","51.06","51.56","50.94","51.00","48,400","","","51.09","","","","","","","","","",""
"2000-06-06T04:00:00.000Z","51.80","52.41","51.34","51.50","151,800","","","51.25","","","","","","","","","",""
"2000-06-07T04:00:00.000Z","51.19","51.56","50.72","51.56","131,000","","","51.53","","","","","","","","","",""
"2000-06-08T04:00:00.000Z","52.13","52.13","51.44","51.44","91,400","","","51.50","","","","","","","","","",""
"2000-06-09T04:00:00.000Z","51.94","52.34","51.91","52.34","41,600","","","51.89","","","","","","","","","",""
"2000-06-12T04:00:00.000Z","52.50","52.50","50.75","50.79","85,200","","","51.57","","","","","","","","","",""
"2000-06-13T04:00:00.000Z","50.66","51.44","50.19","51.44","168,200","","","51.11","","","","","","","","","",""
"2000-06-14T04:00:00.000Z","51.86","51.86","51.19","51.19","43,200","","","51.31","","","","","","","50.16","","",""
"2000-06-15T04:00:00.000Z","50.88","51.25","50.38","51.25","26,800","","","51.22","","","","","","","50.57","","",""
"2000-06-16T04:00:00.000Z","51.47","51.50","50.97","50.97","30,200","","","51.11","","","","","","","50.96","52.13","20.16",""
"2000-06-19T04:00:00.000Z","51.25","52.25","51.02","52.25","59,200","","","51.61","","","","","","","51.24","52.65","18.52",""
"2000-06-20T04:00:00.000Z","52.33","52.67","52.13","52.59","47,000","","","52.42","","","","","","","51.53","53.53","17.86",""
"2000-06-21T04:00:00.000Z","52.13","52.94","52.13","52.84","66,800","","","52.72","","","","","","","51.63","52.39","16.89",""
"2000-06-22T04:00:00.000Z","53.00","53.00","51.34","51.34","139,200","","","52.09","","","","","","","51.78","46.80","20.12",""
"2000-06-23T04:00:00.000Z","51.75","51.75","50.50","50.91","235,800","","","51.12","","","","","","","51.77","43.07","23.90",""
"2000-06-26T04:00:00.000Z","51.11","51.53","50.88","51.53","93,600","","","51.22","","","","","","","51.77","41.21","22.87",""
"2000-06-27T04:00:00.000Z","51.61","52.06","50.72","50.72","112,800","","","51.12","","","","","","","51.73","41.06","20.88",""
"2000-06-28T04:00:00.000Z","50.94","52.19","50.94","52.00","170,600","","","51.36","","","","","","","51.65","38.04","18.94",""
"2000-06-29T04:00:00.000Z","51.75","51.84","51.03","51.19","212,200","","","51.59","","","","","","","51.59","35.69","17.77",""
"2000-06-30T04:00:00.000Z","51.22","51.68","50.80","51.68","1,171,800","","","51.43","","","","","","","51.64","33.64","18.27",""
"2000-07-03T04:00:00.000Z","51.56","52.41","51.50","52.41","15,800","","","52.04","","","","0.6213","","","51.61","36.41","17.18",""
"2000-07-05T04:00:00.000Z","52.11","52.13","51.63","51.81","138,800","","","52.11","","","","0.5982","","","51.71","34.52","16.29",""
"2000-07-06T04:00:00.000Z","51.83","52.42","51.34","52.42","154,600","","","52.12","","","","0.6220","","","51.74","34.02","15.12","35.11"
"2000-07-07T04:00:00.000Z","52.43","52.95","52.43","52.75","71,800","","","52.59","","","","0.6597","","","51.83","36.46","14.56","35.67"
"2000-07-10T04:00:00.000Z","52.72","53.28","52.72","53.09","44,800","","51.12","52.92","","","","0.7091","","","51.86","37.34","13.97","36.37"
