"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"1985-01-31T05:00:00.000Z","125.00","125.00","125.00","125.00","","","","","","","","","","","","","",""
"1985-02-01T05:00:00.000Z","124.63","124.63","124.63","124.63","","","","124.81","","","","","","","","","",""
"1985-02-04T05:00:00.000Z","126.22","126.22","126.22","126.22","","","","125.43","","","","","","","","","",""
"1985-02-05T05:00:00.000Z","126.76","126.76","126.76","126.76","","","","126.49","","","","","","","","","",""
"1985-02-06T05:00:00.000Z","127.16","127.16","127.16","127.16","","","","126.96","","","","","","","","","",""
"1985-02-07T05:00:00.000Z","128.56","128.56","128.56","128.56","","","","127.86","","","","","","","","","",""
"1985-02-08T05:00:00.000Z","128.65","128.65","128.65","128.65","","","","128.61","","","","","","","","","",""
"1985-02-11T05:00:00.000Z","127.80","127.80","127.80","127.80","","","","128.23","","","","","","","","","",""
"1985-02-12T05:00:00.000Z","126.97","126.97","126.97","126.97","","","","127.39","","","","","","","","","",""
"1985-02-13T05:00:00.000Z","127.88","127.88","127.88","127.88","","","","127.43","","","","","","","","","",""
"1985-02-14T05:00:00.000Z","127.01","127.01","127.01","127.01","","","","127.45","","","","","","","","","",""
"1985-02-15T05:00:00.000Z","126.02","126.02","126.02","126.02","","","","126.52","","","","","","","","","",""
"1985-02-19T05:00:00.000Z","125.09","125.09","125.09","125.09","","","","125.56","","","","","","","126.75","","",""
"1985-02-20T05:00:00.000Z","125.48","125.48","125.48","125.48","","","","125.29","","","","","","","126.79","","",""
"1985-02-21T05:00:00.000Z","125.25","125.25","125.25","125.25","","","","125.37","","","","","","","126.83","51.20","48.80",""
"1985-02-22T05:00:00.000Z","124.95","124.95","124.95","124.95","","","","125.10","","","","","","","126.74","49.66","50.34",""
"1985-02-25T05:00:00.000Z","123.59","123.59","123.59","123.59","","","","124.27","","","","","","","126.49","43.29","56.71",""
"1985-02-26T05:00:00.000Z","124.69","124.69","124.69","124.69","","","","124.14","","","","","","","126.30","48.99","51.01",""
"1985-02-27T05:00:00.000Z","123.56","123.56","123.56","123.56","","","","124.13","","","","","","","125.92","44.08","55.92",""
"1985-02-28T05:00:00.000Z","123.52","123.52","123.52","123.52","","","","123.54","","","","","","","125.52","43.92","56.08",""
"1985-03-01T05:00:00.000Z","124.84","124.84","124.84","124.84","","","","124.18","","","","","","","125.30","50.59","49.41",""
"1985-03-04T05:00:00.000Z","125.11","125.11","125.11","125.11","","","","124.98","","","","","","","125.15","51.85","48.15",""
"1985-03-05T05:00:00.000Z","124.60","124.60","124.60","124.60","","","","124.86","","","","","","","124.90","49.29","50.71",""
"1985-03-06T05:00:00.000Z","122.50","122.50","122.50","122.50","","","","123.55","","","","","","","124.55","40.43","59.57",""
