"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2026-04-22T04:00:00.000Z","650.15","655.33","648.52","655.11","37,368,402","198.73","603.22","649.72","604.36","42.58","606.92","14.61","8.46","6.15","622.19","38.83","18.23","27.31"
"2026-04-23T04:00:00.000Z","653.55","656.92","645.52","651.42","40,099,827","177.79","604.68","653.27","605.23","43.80","607.26","15.20","9.81","5.39","627.37","35.82","18.86","27.58"
"2026-04-24T04:00:00.000Z","658.51","664.51","656.53","663.88","45,563,050","196.34","606.90","657.65","606.60","44.78","607.77","16.48","11.14","5.34","632.98","37.76","17.21","28.28"
"2026-04-27T04:00:00.000Z","663.40","664.43","660.69","664.23","32,717,030","180.84","609.25","664.06","608.02","46.33","608.35","17.32","12.38","4.94","637.19","36.77","16.76","28.93"
"2026-04-28T04:00:00.000Z","657.41","659.64","653.81","657.55","34,147,916","146.42","611.16","660.89","609.26","47.04","608.95","17.25","13.35","3.90","641.15","34.09","20.35","28.66"
"2026-04-29T04:00:00.000Z","658.63","661.72","656.59","661.57","31,724,860","141.24","613.10","659.56","610.76","47.00","609.54","17.32","14.15","3.17","644.74","34.33","19.59","28.57"
"2026-04-30T04:00:00.000Z","665.35","668.90","657.56","667.74","40,622,226","140.71","615.53","664.66","612.18","47.56","610.39","17.67","14.85","2.82","649.04","36.69","18.00","28.97"
"2026-05-01T04:00:00.000Z","669.16","675.97","668.80","674.15","39,172,607","147.49","618.23","670.95","613.81","47.75","611.53","18.25","15.53","2.72","652.81","39.63","16.92","29.77"
"2026-05-04T04:00:00.000Z","674.66","676.73","668.90","672.88","34,541,990","135.00","621.26","673.52","615.64","47.71","612.79","18.40","16.10","2.30","656.31","37.90","15.95","30.55"
"2026-05-05T04:00:00.000Z","677.96","682.77","677.51","681.61","37,101,063","140.71","624.38","677.25","617.49","50.15","613.99","19.00","16.68","2.32","659.29","39.59","14.78","31.63"
"2026-05-06T04:00:00.000Z","687.78","695.93","686.48","695.77","38,778,492","152.81","628.10","688.69","619.69","53.84","615.35","20.39","17.43","2.96","662.54","44.92","13.28","33.25"
"2026-05-07T04:00:00.000Z","696.58","701.24","691.77","694.94","43,779,087","146.51","631.67","695.36","621.87","57.40","616.74","21.17","18.18","3.00","666.27","45.68","12.38","34.98"
"2026-05-08T04:00:00.000Z","699.92","711.23","699.50","711.23","44,320,421","155.56","636.26","703.09","624.72","60.46","618.38","22.85","19.11","3.74","670.24","47.42","11.00","36.93"
"2026-05-11T04:00:00.000Z","710.36","714.59","708.91","713.29","36,019,146","152.63","641.28","712.26","627.71","64.68","620.25","24.07","20.10","3.96","674.87","47.89","10.56","38.86"
"2026-05-12T04:00:00.000Z","708.22","710.18","696.64","707.24","45,873,009","129.91","646.25","710.27","630.38","65.85","622.01","24.26","20.93","3.33","679.07","42.50","17.66","39.03"
"2026-05-13T04:00:00.000Z","709.96","716.65","704.83","714.71","40,012,526","133.57","650.83","710.98","633.16","66.16","623.90","24.73","21.69","3.04","683.03","43.47","16.26","39.50"
"2026-05-14T04:00:00.000Z","714.62","722.03","714.22","719.79","33,327,545","136.06","655.35","717.25","636.28","66.39","625.80","25.23","22.40","2.83","686.97","44.83","15.39","40.17"
"2026-05-15T04:00:00.000Z","710.14","715.13","705.55","708.93","51,792,656","115.49","659.48","714.36","639.18","63.15","627.56","24.46","22.81","1.65","691.03","40.58","19.71","39.77"
"2026-05-18T04:00:00.000Z","711.54","712.07","698.85","705.88","49,834,549","103.76","663.39","707.41","642.28","57.67","629.18","23.34","22.92","0.4204","695.10","37.06","22.39","38.69"
"2026-05-19T04:00:00.000Z","699.81","706.49","695.25","701.53","46,827,529","92.46","667.15","703.71","645.12","53.35","630.84","21.84","22.70","-0.8579","697.75","34.34","23.10","37.33"
"2026-05-20T04:00:00.000Z","705.29","713.15","703.79","713.15","36,779,222","102.69","670.72","707.34","648.35","49.24","632.60","21.35","22.43","-1.08","700.53","36.08","21.35","36.49"
"2026-05-21T04:00:00.000Z","708.99","717.12","706.77","714.51","36,415,360","102.55","674.20","713.83","651.51","44.09","634.23","20.83","22.11","-1.28","703.17","36.23","19.91","35.96"
"2026-05-22T04:00:00.000Z","718.07","722.12","715.95","717.54","33,118,575","107.43","677.75","716.03","655.11","41.97","636.03","20.43","21.78","-1.35","706.25","37.73","18.90","35.77"
"2026-05-26T04:00:00.000Z","725.96","731.17","724.16","730.28","34,254,692","119.39","681.51","723.91","659.30","42.17","638.08","20.90","21.60","-0.7028","709.19","40.29","17.21","36.08"
"2026-05-27T04:00:00.000Z","732.96","733.32","725.44","729.45","35,148,674","116.45","684.87","729.87","663.58","44.25","640.11","20.96","21.47","-0.5126","711.99","39.60","16.30","36.48"
"2026-05-28T04:00:00.000Z","729.73","736.60","726.41","735.60","32,839,952","116.84","688.15","732.53","667.54","45.19","642.34","21.26","21.43","-0.1698","714.28","39.10","15.19","37.02"
"2026-05-29T04:00:00.000Z","737.84","741.63","735.25","738.31","37,541,668","120.56","691.41","736.96","671.39","46.76","644.47","21.47","21.44","0.0315","716.39","40.85","14.52","37.77"
"2026-06-01T04:00:00.000Z","737.04","745.65","735.99","742.74","33,890,559","120.56","694.54","740.53","675.33","47.48","646.70","21.74","21.50","0.2433","718.61","40.90","13.55","38.66"
"2026-06-02T04:00:00.000Z","742.40","746.44","739.23","746.16","30,085,238","119.33","697.85","744.45","679.27","47.03","649.14","21.98","21.60","0.3856","721.11","39.37","12.86","39.53"
"2026-06-03T04:00:00.000Z","747.31","748.65","741.01","744.21","40,270,198","115.81","701.18","745.19","683.16","46.83","651.41","21.76","21.63","0.1332","723.62","38.79","12.15","40.44"
"2026-06-04T04:00:00.000Z","735.48","743.50","732.62","740.61","40,782,580","100.90","704.03","742.41","686.53","45.22","653.63","21.06","21.51","-0.4589","725.57","35.59","17.12","40.05"
"2026-06-05T04:00:00.000Z","730.06","731.69","704.32","705.06","99,606,572","50.57","705.82","722.84","688.90","39.05","655.25","17.43","20.70","-3.27","727.00","27.84","30.38","37.50"
"2026-06-08T04:00:00.000Z","717.81","723.03","713.07","716.07","47,401,451","55.20","707.56","710.57","691.52","32.36","657.23","15.26","19.61","-4.35","728.38","24.94","27.22","35.14"
"2026-06-09T04:00:00.000Z","722.98","725.66","686.37","707.83","91,932,171","30.15","709.01","711.95","693.79","23.24","659.13","12.73","18.23","-5.50","729.74","20.03","35.24","34.59"
