"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (50,C,ma,0)-2","MA ma (2,C,ma,0)","MA ma (200,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2025-07-10T04:00:00.000Z","556.89","557.30","552.75","555.45","34,710,913","143.62","522.58","555.85","","9.86","9.75","0.1136","30.81","16.29","24.77"
"2025-07-11T04:00:00.000Z","553.30","555.79","552.05","554.20","39,618,635","127.38","524.15","554.83","505.17","9.55","9.71","-0.1596","29.47","16.40","25.04"
"2025-07-14T04:00:00.000Z","553.99","556.95","551.63","556.21","36,453,314","123.39","525.76","555.21","505.53","9.35","9.64","-0.2827","28.99","15.38","25.44"
"2025-07-15T04:00:00.000Z","560.25","560.80","556.66","556.72","43,277,661","130.15","527.26","556.47","505.89","9.14","9.54","-0.4003","32.00","14.54","26.30"
"2025-07-16T04:00:00.000Z","557.28","560.21","551.56","557.29","52,314,711","112.33","528.63","557.01","506.25","8.91","9.41","-0.5036","28.80","18.97","25.89"
"2025-07-17T04:00:00.000Z","558.02","562.31","557.21","561.80","40,423,778","124.78","530.15","559.55","506.61","8.99","9.33","-0.3400","29.54","17.84","25.81"
"2025-07-18T04:00:00.000Z","563.12","564.73","559.98","561.26","50,484,704","124.15","531.75","561.53","506.98","8.90","9.24","-0.3391","30.74","16.84","26.05"
"2025-07-21T04:00:00.000Z","562.09","566.06","562.06","564.17","39,595,214","126.88","533.37","562.72","507.36","8.97","9.19","-0.2193","30.57","15.86","26.45"
"2025-07-22T04:00:00.000Z","564.30","564.35","558.61","561.25","43,270,647","107.56","534.82","562.71","507.76","8.68","9.09","-0.4028","28.45","18.93","26.00"
"2025-07-23T04:00:00.000Z","562.34","563.85","559.58","563.81","40,215,259","107.58","536.34","562.53","508.17","8.57","8.98","-0.4162","26.96","17.93","25.58"
"2025-07-24T04:00:00.000Z","565.13","566.24","563.29","565.01","42,275,541","113.79","537.48","564.41","508.59","8.47","8.88","-0.4080","29.00","17.26","25.57"
"2025-07-25T04:00:00.000Z","564.93","567.70","564.27","566.37","30,630,813","114.45","538.50","565.69","508.98","8.41","8.79","-0.3757","29.60","16.48","25.77"
"2025-07-28T04:00:00.000Z","567.74","569.04","566.87","568.14","31,498,739","118.64","539.49","567.26","509.41","8.41","8.71","-0.3029","30.36","15.88","26.17"
"2025-07-29T04:00:00.000Z","570.76","572.11","566.53","567.26","45,463,317","117.23","540.45","567.70","509.80","8.24","8.62","-0.3770","32.22","14.68","26.97"
"2025-07-30T04:00:00.000Z","568.18","570.62","565.05","568.02","43,433,777","109.50","541.38","567.64","510.18","8.07","8.51","-0.4337","29.80","15.58","27.28"
"2025-07-31T04:00:00.000Z","574.54","574.63","563.87","565.01","64,613,590","104.99","542.24","566.52","510.54","7.61","8.33","-0.7161","30.81","13.47","28.13"
"2025-08-01T04:00:00.000Z","558.83","559.02","551.68","553.88","69,400,789","33.77","542.91","559.45","510.84","6.28","7.92","-1.64","26.10","25.39","26.22"
"2025-08-04T04:00:00.000Z","559.05","564.32","558.95","564.10","47,669,751","72.77","543.93","558.99","511.17","5.97","7.53","-1.56","28.91","22.49","25.24"
