"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2026-01-02T05:00:00.000Z","620.06","622.85","610.15","613.12","61,859,163","6.57","615.21","613.72","614.60","614.35","0.8670","1.39","-0.5193","617.48","16.12","26.90","12.41"
"2026-01-05T05:00:00.000Z","619.32","620.81","616.72","617.99","46,828,359","35.55","615.81","615.56","614.47","614.46","0.8501","1.28","-0.4289","617.56","14.99","25.02","13.31"
"2026-01-06T05:00:00.000Z","619.23","624.02","618.54","623.42","43,137,520","63.95","617.07","620.71","614.76","614.67","1.26","1.28","-0.0150","618.40","17.13","23.62","13.50"
"2026-01-07T05:00:00.000Z","623.04","627.94","622.56","624.02","44,880,339","86.01","618.20","623.72","615.12","615.25","1.62","1.34","0.2720","619.17","19.96","22.42","12.95"
"2026-01-08T05:00:00.000Z","623.03","623.42","617.80","620.47","50,435,941","48.21","618.71","622.25","615.05","615.56","1.59","1.39","0.1987","620.19","18.77","25.65","13.13"
"2026-01-09T05:00:00.000Z","621.41","627.89","619.06","626.65","49,688,734","82.03","619.30","623.56","615.18","616.03","2.05","1.52","0.5241","620.91","21.43","23.50","12.52"
"2026-01-12T05:00:00.000Z","622.31","628.85","622.26","627.17","37,388,651","93.68","619.73","626.91","615.33","616.45","2.42","1.70","0.7199","620.99","21.00","22.03","11.80"
"2026-01-13T05:00:00.000Z","627.27","629.47","623.70","626.24","44,481,380","92.83","619.96","626.71","615.77","616.89","2.62","1.89","0.7300","621.69","20.43","20.79","11.02"
"2026-01-14T05:00:00.000Z","622.24","623.45","614.56","619.55","72,598,700","27.75","620.04","622.90","616.04","617.15","2.20","1.95","0.2539","621.70","18.21","27.04","11.63"
"2026-01-15T05:00:00.000Z","626.60","630.00","620.75","621.78","53,934,892","69.94","620.04","620.67","616.49","617.32","2.03","1.97","0.0667","621.85","22.42","24.47","11.11"
"2026-01-16T05:00:00.000Z","625.50","626.08","618.88","621.26","61,058,094","48.23","619.96","621.52","617.12","617.48","1.84","1.94","-0.1052","622.27","20.95","24.57","10.88"
"2026-01-20T05:00:00.000Z","610.53","615.05","607.05","608.06","81,988,898","-76.59","619.47","614.66","617.32","617.52","0.6059","1.67","-1.07","621.55","18.38","31.77","12.01"
"2026-01-21T05:00:00.000Z","609.47","620.42","607.86","616.28","79,837,881","-35.49","619.16","612.17","618.09","617.62","0.2917","1.40","-1.11","620.77","20.92","28.45","12.24"
"2026-01-22T05:00:00.000Z","622.35","622.46","617.78","620.76","42,254,757","21.66","619.04","618.52","618.85","617.68","0.3995","1.20","-0.7981","620.95","21.56","26.95","12.16"
"2026-01-23T05:00:00.000Z","619.73","625.40","618.65","622.72","43,645,825","44.82","618.96","621.74","619.29","617.59","0.6358","1.09","-0.4494","620.98","22.84","25.39","11.67"
"2026-01-26T05:00:00.000Z","623.21","627.61","622.12","625.46","35,983,008","84.86","618.89","624.09","619.71","617.47","1.03","1.07","-0.0424","621.28","23.68","24.16","10.91"
"2026-01-27T05:00:00.000Z","628.91","632.04","627.34","631.13","38,997,212","159.04","619.08","628.30","620.13","617.39","1.78","1.22","0.5670","621.74","26.25","22.74","10.64"
"2026-01-28T05:00:00.000Z","635.46","636.60","631.81","633.22","50,691,691","202.14","619.73","632.18","620.48","617.51","2.52","1.48","1.04","622.69","29.11","21.60","10.94"
"2026-01-29T05:00:00.000Z","632.65","633.67","618.27","629.43","79,944,047","95.72","620.36","631.33","620.79","617.52","2.76","1.73","1.03","623.56","25.27","30.34","10.81"
"2026-01-30T05:00:00.000Z","625.71","628.26","619.30","621.87","65,650,714","34.43","620.70","625.65","620.78","617.34","2.32","1.85","0.4690","623.82","23.11","27.75","10.69"
"2026-02-02T05:00:00.000Z","618.70","628.49","618.66","626.14","49,020,292","52.11","621.55","624.01","620.85","617.46","2.29","1.94","0.3490","623.16","21.22","26.00","10.65"
"2026-02-03T05:00:00.000Z","628.30","629.98","610.96","616.52","81,233,969","-24.55","621.80","621.33","620.69","617.35","1.47","1.84","-0.3761","623.62","18.13","28.12","11.43"
"2026-02-04T05:00:00.000Z","615.02","615.10","600.47","605.75","81,850,748","-184.30","621.43","611.14","620.19","617.25","-0.0492","1.47","-1.51","622.73","16.01","32.47","13.04"
"2026-02-05T05:00:00.000Z","600.21","604.81","594.76","597.03","89,354,492","-260.15","620.69","601.39","619.51","617.04","-1.93","0.7860","-2.72","620.79","14.74","34.02","14.93"
"2026-02-06T05:00:00.000Z","600.19","611.41","598.77","609.65","78,019,338","-149.61","620.27","603.34","619.13","616.81","-2.38","0.1526","-2.53","619.99","17.87","30.60","15.74"
"2026-02-09T05:00:00.000Z","607.54","616.46","605.07","614.32","56,797,557","-80.97","619.95","611.99","618.80","616.69","-2.33","-0.3442","-1.99","619.84","19.96","28.18","15.84"
"2026-02-10T05:00:00.000Z","615.30","617.02","611.01","611.47","53,938,859","-62.96","619.54","612.90","618.44","616.53","-2.49","-0.7741","-1.72","619.30","19.51","26.97","15.85"
"2026-02-11T05:00:00.000Z","616.38","617.52","607.69","613.11","58,575,101","-65.34","619.28","612.29","618.43","616.61","-2.46","-1.11","-1.35","619.05","18.13","27.44","16.18"
"2026-02-12T05:00:00.000Z","614.71","615.81","599.57","600.64","81,378,903","-141.47","618.65","606.88","618.18","616.47","-3.40","-1.57","-1.83","618.39","16.11","29.96","17.17"
"2026-02-13T05:00:00.000Z","600.43","606.48","596.42","601.92","69,237,547","-171.52","618.24","601.28","617.94","616.44","-4.00","-2.06","-1.94","616.20","15.00","30.05","18.33"
"2026-02-17T05:00:00.000Z","598.38","603.95","593.34","601.30","69,013,763","-186.90","617.84","601.61","617.96","616.52","-4.47","-2.54","-1.93","613.35","13.91","29.97","19.63"
"2026-02-18T05:00:00.000Z","602.11","609.77","600.72","605.79","64,250,668","-123.80","617.44","603.55","617.88","616.62","-4.43","-2.92","-1.51","611.00","17.07","28.10","19.98"
"2026-02-19T05:00:00.000Z","602.81","605.82","600.75","603.47","60,960,839","-133.84","616.77","604.63","617.54","616.92","-4.54","-3.24","-1.29","609.24","16.45","27.07","20.29"
"2026-02-20T05:00:00.000Z","600.12","610.35","599.23","608.81","74,127,323","-100.27","616.27","606.14","617.28","617.23","-4.14","-3.42","-0.7179","607.81","18.38","24.93","19.92"
"2026-02-23T05:00:00.000Z","606.61","608.01","599.05","601.41","63,859,111","-120.41","615.63","605.11","616.76","617.17","-4.37","-3.61","-0.7602","606.14","17.10","23.32","19.60"
"2026-02-24T05:00:00.000Z","602.40","608.99","599.73","607.87","55,023,732","-91.39","615.00","604.64","616.36","617.15","-3.99","-3.69","-0.3017","605.17","16.66","21.77","19.15"
