"Date","Open","High","Low","Close","Volume","Provisional"
"2026-07-13T00:00:00.000Z","717.72","718.74","710.08","711.74","36552400",""
"2026-07-14T00:00:00.000Z","720.22","722.29","714.34","719.69","29448100",""
"2026-07-15T00:00:00.000Z","723.85","724.36","710.23","717.74","32627600",""
"2026-07-16T00:00:00.000Z","712.01","713.60","702.61","705.94","39402000",""
"2026-07-17T00:00:00.000Z","691.65","702.30","686.76","695.33","54109300",""
"2026-07-20T00:00:00.000Z","702.16","705.80","695.51","696.06","29687600",""
"2026-07-21T00:00:00.000Z","706.57","710.05","702.80","708.97","33728300",""
"2026-07-22T00:00:00.000Z","703.62","709.65","703.62","705.35","23692200",""
"2026-07-23T00:00:00.000Z","694.67","698.66","687.79","691.96","44028600",""
"2026-07-24T00:00:00.000Z","690.41","692.63","682.48","684.23","42876700",""
"2026-07-27T00:00:00.000Z","691.68","692.30","675.95","682.12","42681500",""
"2026-07-28T00:00:00.000Z","676.19","679.40","667.88","675.49","49675490",""
