"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2001-07-13T04:00:00.000Z","24.10","24.53","23.53","24.22","603,300","","","","","","","","","","","","",""
"2001-07-16T04:00:00.000Z","23.78","23.85","22.81","22.81","180,000","","","23.51","","","","","","","","","",""
"2001-07-17T04:00:00.000Z","22.65","23.75","22.63","23.75","287,100","","","23.28","","","","","","","","","",""
"2001-07-18T04:00:00.000Z","23.03","23.20","22.77","22.77","301,800","","","23.26","","","","","","","","","",""
"2001-07-19T04:00:00.000Z","24.13","24.23","23.73","23.73","405,000","","","23.25","","","","","","","","","",""
"2001-07-20T04:00:00.000Z","23.25","23.63","23.25","23.62","360,000","","","23.67","","","","","","","","","",""
"2001-07-23T04:00:00.000Z","23.75","23.75","22.90","22.90","195,300","","","23.26","","","","","","","","","",""
"2001-07-24T04:00:00.000Z","22.77","22.77","22.27","22.28","150,300","","","22.59","","","","","","","","","",""
"2001-07-25T04:00:00.000Z","22.20","22.62","21.88","21.88","179,100","","","22.08","","","","","","","","","",""
"2001-07-26T04:00:00.000Z","22.85","24.15","22.77","23.92","281,700","","","22.90","","","","","","","","","",""
"2001-07-27T04:00:00.000Z","24.17","24.73","24.17","24.47","121,500","","","24.19","","","","","","","","","",""
"2001-07-30T04:00:00.000Z","24.60","24.85","24.43","24.63","7,800.00","","","24.55","","","","","","","","","",""
"2001-07-31T04:00:00.000Z","25.13","25.13","24.63","24.63","152,100","","","24.63","","","","","","","23.57","","",""
"2001-08-01T04:00:00.000Z","25.58","26.23","25.58","25.92","28,500","","","25.27","","","","","","","23.68","","",""
"2001-08-02T04:00:00.000Z","26.57","26.65","26.38","26.42","64,800","","","26.17","","","","","","","23.90","36.16","19.59",""
"2001-08-03T04:00:00.000Z","26.42","26.42","25.92","26.08","9,600.00","","","26.25","","","","","","","24.19","34.82","22.32",""
"2001-08-06T04:00:00.000Z","25.52","25.72","25.47","25.62","21,900","","","25.85","","","","","","","24.38","33.19","24.70",""
"2001-08-07T04:00:00.000Z","25.20","25.22","25.00","25.22","18,600","","","25.42","","","","","","","24.46","31.59","27.14",""
