"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"1970-01-05T05:00:00.000Z","93.46","93.46","93.46","93.46","","","","","","","","","","","","","",""
"1970-01-06T05:00:00.000Z","92.82","92.82","92.82","92.82","","","","93.14","","","","","","","","","",""
"1970-01-07T05:00:00.000Z","92.63","92.63","92.63","92.63","","","","92.72","","","","","","","","","",""
"1970-01-08T05:00:00.000Z","92.68","92.68","92.68","92.68","","","","92.66","","","","","","","","","",""
"1970-01-09T05:00:00.000Z","92.40","92.40","92.40","92.40","","","","92.54","","","","","","","","","",""
"1970-01-12T05:00:00.000Z","91.70","91.70","91.70","91.70","","","","92.05","","","","","","","","","",""
"1970-01-13T05:00:00.000Z","91.79","91.79","91.79","91.79","","","","91.75","","","","","","","","","",""
"1970-01-14T05:00:00.000Z","91.65","91.65","91.65","91.65","","","","91.72","","","","","","","","","",""
"1970-01-15T05:00:00.000Z","91.68","91.68","91.68","91.68","","","","91.67","","","","","","","","","",""
"1970-01-16T05:00:00.000Z","90.92","90.92","90.92","90.92","","","","91.30","","","","","","","","","",""
"1970-01-19T05:00:00.000Z","89.65","89.65","89.65","89.65","","","","90.29","","","","","","","","","",""
"1970-01-20T05:00:00.000Z","89.83","89.83","89.83","89.83","","","","89.74","","","","","","","","","",""
"1970-01-21T05:00:00.000Z","89.91","89.91","89.91","89.91","","","","89.87","","","","","","","91.62","","",""
"1970-01-22T05:00:00.000Z","89.95","89.95","89.95","89.95","","","","89.93","","","","","","","91.35","","",""
"1970-01-23T05:00:00.000Z","89.07","89.07","89.07","89.07","","","","89.51","","","","","","","91.07","8.82","91.18",""
"1970-01-26T05:00:00.000Z","88.17","88.17","88.17","88.17","","","","88.62","","","","","","","90.72","7.46","92.54",""
"1970-01-27T05:00:00.000Z","87.62","87.62","87.62","87.62","","","","87.90","","","","","","","90.33","6.78","93.22",""
"1970-01-28T05:00:00.000Z","86.79","86.79","86.79","86.79","","","","87.21","","","","","","","89.90","5.89","94.11",""
"1970-01-29T05:00:00.000Z","85.69","85.69","85.69","85.69","","","","86.24","","","","","","","89.44","4.97","95.03",""
"1970-01-30T05:00:00.000Z","85.02","85.02","85.02","85.02","","","","85.35","","","","","","","88.92","4.51","95.49",""
"1970-02-02T05:00:00.000Z","85.75","85.75","85.75","85.75","","","","85.38","","","","","","","88.47","13.91","86.09",""
"1970-02-03T05:00:00.000Z","86.77","86.77","86.77","86.77","","","","86.26","","","","","","","88.09","25.02","74.98",""
"1970-02-04T05:00:00.000Z","86.24","86.24","86.24","86.24","","","","86.50","","","","","","","87.73","23.34","76.66",""
"1970-02-05T05:00:00.000Z","85.90","85.90","85.90","85.90","","","","86.07","","","","","","","87.44","22.30","77.70",""
"1970-02-06T05:00:00.000Z","86.33","86.33","86.33","86.33","","","","86.11","","","","","","","87.17","26.74","73.26",""
"1970-02-09T05:00:00.000Z","87.01","87.01","87.01","87.01","","","","86.67","","","","-2.17","","","86.95","33.23","66.77",""
"1970-02-10T05:00:00.000Z","86.10","86.10","86.10","86.10","","","","86.55","","","","-2.09","","","86.65","29.47","70.53",""
"1970-02-11T05:00:00.000Z","86.94","86.94","86.94","86.94","","","","86.52","","","","-1.94","","","86.49","36.61","63.39","62.51"
