"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"1993-01-29T05:00:00.000Z","43.97","43.97","43.75","43.94","1,003,200","","","","","","","","","","","","",""
"1993-02-01T05:00:00.000Z","43.97","44.25","43.97","44.25","480,500","","","44.09","","","","","","","","","",""
"1993-02-02T05:00:00.000Z","44.22","44.38","44.13","44.34","201,300","","","44.30","","","","","","","","","",""
"1993-02-03T05:00:00.000Z","44.41","44.84","44.38","44.81","529,400","","","44.58","","","","","","","","","",""
"1993-02-04T05:00:00.000Z","44.97","45.09","44.88","45.00","531,500","","","44.91","","","","","","","","","",""
"1993-02-05T05:00:00.000Z","44.97","45.06","44.72","44.97","492,100","","","44.98","","","","","","","","","",""
"1993-02-08T05:00:00.000Z","44.97","45.13","44.91","44.97","596,100","","","44.97","","","","","","","","","",""
"1993-02-09T05:00:00.000Z","44.81","44.81","44.56","44.66","122,100","","","44.81","","","","","","","","","",""
"1993-02-10T05:00:00.000Z","44.66","44.75","44.53","44.72","379,600","","","44.69","","","","","","","","","",""
"1993-02-11T05:00:00.000Z","44.78","45.13","44.78","44.94","19,500","","","44.83","","","","","","","","","",""
"1993-02-12T05:00:00.000Z","44.88","44.88","44.59","44.59","42,500","","","44.77","","","","","","","","","",""
"1993-02-16T05:00:00.000Z","44.47","44.47","43.41","43.47","374,800","","","44.03","","","","","","","","","",""
"1993-02-17T05:00:00.000Z","43.47","43.53","43.28","43.44","210,900","","","43.45","","","","","","","44.50","","",""
"1993-02-18T05:00:00.000Z","43.94","43.94","42.81","43.41","378,100","","","43.42","","","","","","","44.50","","",""
"1993-02-19T05:00:00.000Z","43.41","43.56","43.34","43.56","34,900","","","43.48","","","","","","","44.46","25.77","41.24",""
"1993-02-22T05:00:00.000Z","43.69","43.78","43.56","43.72","513,600","","","43.64","","","","","","","44.42","28.55","39.70",""
"1993-02-23T05:00:00.000Z","43.84","43.88","43.47","43.69","373,700","","","43.70","","","","","","","44.37","28.17","36.93",""
"1993-02-24T05:00:00.000Z","43.72","44.25","43.72","44.25","26,300","","","43.97","","","","","","","44.28","31.79","33.46",""
"1993-02-25T05:00:00.000Z","44.22","44.38","44.13","44.34","44,500","","","44.30","","","","","","","44.22","32.57","32.02",""
"1993-02-26T05:00:00.000Z","44.44","44.44","44.19","44.41","66,200","","","44.38","","","","","","","44.18","32.24","30.60",""
"1993-03-01T05:00:00.000Z","44.56","44.56","44.22","44.28","66,500","","","44.34","","","","","","","44.16","32.49","28.72",""
"1993-03-02T05:00:00.000Z","44.31","44.94","44.25","44.94","182,400","","","44.61","","","","","","","44.13","35.07","25.35",""
"1993-03-03T05:00:00.000Z","45.00","45.16","44.94","45.13","280,100","","","45.03","","","","","","","44.15","37.58","24.37",""
"1993-03-04T05:00:00.000Z","45.19","45.19","44.88","44.88","89,500","","","45.00","","","","","","","44.17","35.47","24.13",""
"1993-03-05T05:00:00.000Z","44.94","45.13","44.72","44.75","40,000","","","44.81","","","","","","","44.21","32.89","25.17",""
"1993-03-08T05:00:00.000Z","44.84","45.75","44.84","45.75","50,800","","","45.25","","","","0.2817","","","44.31","37.68","21.10",""
"1993-03-09T05:00:00.000Z","45.66","45.69","45.50","45.59","169,300","","","45.67","","","","0.3312","","","44.45","36.11","20.22",""
"1993-03-10T05:00:00.000Z","45.59","45.69","45.41","45.69","194,400","","","45.64","","","","0.3737","","","44.62","34.37","20.85","13.66"
"1993-03-11T05:00:00.000Z","45.72","45.84","45.50","45.56","70,900","","","45.62","","","","0.3927","","","44.77","35.03","19.61","14.70"
"1993-03-12T05:00:00.000Z","45.19","45.22","44.81","45.09","643,600","","44.57","45.33","","","","0.3658","","","44.88","30.73","28.45","13.92"
"1993-03-15T05:00:00.000Z","45.06","45.31","45.06","45.31","310,800","","44.62","45.20","","","","0.3579","","","44.98","31.02","27.25","13.39"
"1993-03-16T05:00:00.000Z","45.31","45.44","45.31","45.31","30,800","","44.65","45.31","","","","0.3477","","","45.06","32.55","26.65","13.15"
"1993-03-17T05:00:00.000Z","45.25","45.25","44.97","45.03","21,800","","44.68","45.17","","","","0.3133","","","45.13","30.54","31.18","12.28"
"1993-03-18T05:00:00.000Z","45.22","45.50","45.22","45.31","59,300","","44.69","45.17","","0.5936","","0.3052","0.3410","-0.0358","45.18","32.43","28.58","11.85"
"1993-03-19T05:00:00.000Z","45.28","45.28","45.03","45.03","66,900","","44.69","45.17","","0.5835","","0.2729","0.3274","-0.0545","45.25","30.78","30.53","11.04"
"1993-03-22T05:00:00.000Z","44.59","44.88","44.56","44.78","183,400","","44.69","44.91","","0.4719","","0.2246","0.3068","-0.0822","45.22","28.20","36.35","11.15"
"1993-03-23T05:00:00.000Z","44.91","44.94","44.81","44.88","55,200","","44.68","44.83","","0.3535","","0.1917","0.2838","-0.0921","45.20","28.55","35.29","11.11"
"1993-03-24T05:00:00.000Z","44.81","45.06","44.59","44.88","37,200","","44.69","44.87","","0.2908","","0.1637","0.2598","-0.0961","45.19","26.08","36.27","11.48"
"1993-03-25T05:00:00.000Z","44.91","45.25","44.84","45.16","110,100","","44.71","45.02","","0.2265","","0.1623","0.2403","-0.0780","45.19","27.58","33.57","11.36"
"1993-03-26T05:00:00.000Z","45.13","45.16","44.88","44.91","101,500","40.87","44.70","45.03","44.69","0.1947","","0.1395","0.2201","-0.0807","45.15","26.13","31.80","11.25"
"1993-03-29T05:00:00.000Z","44.94","45.31","44.94","45.09","87,100","56.70","44.72","45.00","44.72","0.2727","","0.1349","0.2031","-0.0682","45.10","27.06","29.39","10.74"
"1993-03-30T05:00:00.000Z","45.16","45.22","45.09","45.22","56,000","62.75","44.78","45.16","44.75","0.3152","","0.1398","0.1904","-0.0506","45.06","26.40","28.68","10.27"
"1993-03-31T05:00:00.000Z","45.34","45.47","45.19","45.19","111,600","74.32","44.84","45.20","44.77","0.3950","","0.1395","0.1803","-0.0407","45.07","29.90","27.07","9.89"
"1993-04-01T05:00:00.000Z","45.25","45.25","44.94","45.03","129,500","43.16","44.89","45.11","44.77","0.4002","","0.1253","0.1693","-0.0440","45.08","28.02","30.39","9.47"
"1993-04-02T05:00:00.000Z","44.66","44.66","44.09","44.09","59,400","-64.02","44.91","44.56","44.75","0.2826","","0.0379","0.1430","-0.1051","45.03","23.30","40.44","10.72"
"1993-04-05T04:00:00.000Z","44.44","44.44","44.19","44.31","172,200","-56.57","44.93","44.20","44.73","0.1091","","-0.0136","0.1117","-0.1252","44.97","21.84","37.92","11.87"
"1993-04-06T04:00:00.000Z","44.41","44.41","44.06","44.19","129,700","-65.38","44.95","44.25","44.71","-0.0996","","-0.0637","0.0766","-0.1403","44.91","20.47","37.82","13.15"
"1993-04-07T04:00:00.000Z","44.25","44.34","44.16","44.34","28,000","-54.53","44.95","44.27","44.71","-0.3410","","-0.0898","0.0433","-0.1331","44.83","19.74","36.47","14.34"
"1993-04-08T04:00:00.000Z","44.53","44.53","44.09","44.28","180,800","-49.61","44.95","44.31","44.70","-0.5225","","-0.1142","0.0118","-0.1260","44.82","21.64","33.47","14.85"
"1993-04-12T04:00:00.000Z","44.72","44.94","44.66","44.91","348,500","18.12","44.96","44.59","44.69","-0.4712","","-0.0821","-0.0070","-0.0752","44.81","26.36","29.54","14.19"
"1993-04-13T04:00:00.000Z","44.88","45.16","44.84","45.00","146,100","37.92","44.99","44.95","44.70","-0.3728","","-0.0486","-0.0153","-0.0333","44.81","28.84","27.87","13.30"
"1993-04-14T04:00:00.000Z","45.03","45.06","44.91","44.94","119,600","31.69","44.99","44.97","44.74","-0.2522","","-0.0268","-0.0176","-0.0092","44.82","27.98","27.04","12.47"
"1993-04-15T04:00:00.000Z","44.91","45.03","44.75","44.94","148,600","20.05","44.98","44.94","44.78","-0.1429","","-0.0094","-0.0159","0.0066","44.81","26.46","28.59","11.86"
"1993-04-16T04:00:00.000Z","44.97","45.03","44.88","44.94","47,900","22.42","44.98","44.94","44.82","-0.0337","","0.0044","-0.0119","0.0163","44.81","25.63","27.69","11.29"
"1993-04-19T04:00:00.000Z","44.94","45.06","44.72","44.75","157,000","0.9110","44.98","44.84","44.85","-0.0296","","0.0001","-0.0095","0.0096","44.79","23.85","28.92","11.17"
"1993-04-20T04:00:00.000Z","44.69","44.75","44.25","44.53","279,500","-65.10","44.94","44.64","44.87","-0.1268","","-0.0206","-0.0117","-0.0089","44.74","21.51","35.28","12.10"
"1993-04-21T04:00:00.000Z","44.63","44.63","44.38","44.50","67,900","-75.93","44.91","44.52","44.89","-0.2076","","-0.0392","-0.0172","-0.0220","44.69","20.43","33.51","12.97"
"1993-04-22T04:00:00.000Z","44.31","44.69","43.94","43.94","97,700","-140.31","44.85","44.22","44.88","-0.3021","","-0.0981","-0.0334","-0.0647","44.67","17.58","36.97","14.58"
"1993-04-23T04:00:00.000Z","43.84","43.97","43.69","43.75","106,000","-207.29","44.79","43.84","44.86","-0.4949","","-0.1581","-0.0583","-0.0998","44.62","16.64","39.74","16.47"
"1993-04-26T04:00:00.000Z","43.78","43.94","43.28","43.41","62,600","-237.51","44.73","43.58","44.84","-0.7016","44.65","-0.2308","-0.0928","-0.1380","44.57","14.68","42.36","18.76"
"1993-04-27T04:00:00.000Z","43.34","43.88","43.34","43.88","156,800","-195.19","44.68","43.64","44.83","-0.8213","44.65","-0.2477","-0.1238","-0.1239","44.50","13.31","38.41","20.88"
"1993-04-28T04:00:00.000Z","43.81","43.91","43.72","43.78","85,900","-160.76","44.63","43.83","44.80","-0.9078","44.64","-0.2656","-0.1521","-0.1134","44.45","13.42","37.09","22.74"
