"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2002-07-26T04:00:00.000Z","82.67","82.80","82.42","82.51","316,300","","","","","","","","","","","","",""
"2002-07-29T04:00:00.000Z","82.06","82.16","81.32","81.42","8,400.00","","","81.97","","","","","","","","","",""
"2002-07-30T04:00:00.000Z","81.75","81.90","81.52","81.52","6,100.00","","","81.47","","","","","","","","","",""
"2002-07-31T04:00:00.000Z","81.95","82.80","81.90","82.53","29,400","","","82.03","","","","","","","","","",""
"2002-08-01T04:00:00.000Z","82.54","83.02","82.54","83.00","25,000","","","82.77","","","","","","","","","",""
"2002-08-02T04:00:00.000Z","83.16","84.10","82.88","83.85","52,800","","","83.43","","","","","","","","","",""
"2002-08-05T04:00:00.000Z","84.04","84.44","83.85","84.22","61,100","","","84.04","","","","","","","","","",""
"2002-08-06T04:00:00.000Z","83.87","83.90","83.22","83.50","64,900","","","83.86","","","","","","","","","",""
"2002-08-07T04:00:00.000Z","83.60","84.14","83.36","83.70","40,300","","","83.60","","","","","","","","","",""
"2002-08-08T04:00:00.000Z","83.58","83.77","83.36","83.70","40,900","","","83.70","","","","","","","","","",""
"2002-08-09T04:00:00.000Z","84.00","84.88","84.00","84.88","35,900","","","84.29","","","","","","","","","",""
"2002-08-12T04:00:00.000Z","85.30","86.70","85.14","85.40","32,100","","","85.14","","","","","","","","","",""
"2002-08-13T04:00:00.000Z","85.78","86.47","85.37","86.45","74,300","","","85.93","","","","","","","83.41","","",""
"2002-08-14T04:00:00.000Z","87.46","87.90","86.75","86.78","130,000","","","86.61","","","","","","","83.78","","",""
"2002-08-15T04:00:00.000Z","86.38","86.50","85.85","86.02","87,100","","","86.40","","","","","","","84.11","51.29","18.89",""
"2002-08-16T04:00:00.000Z","86.44","86.52","84.82","85.06","85,000","","","85.54","","","","","","","84.47","45.33","23.74",""
"2002-08-19T04:00:00.000Z","85.05","85.34","84.71","85.32","47,300","","","85.19","","","","","","","84.71","43.32","23.46",""
"2002-08-20T04:00:00.000Z","85.62","86.29","85.60","86.27","40,800","","","85.79","","","","","","","84.94","47.06","21.86",""
"2002-08-21T04:00:00.000Z","85.68","86.10","85.63","85.81","40,000","","","86.04","","","","","","","85.14","44.88","20.84",""
