"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2004-01-30T05:00:00.000Z","6.09","6.16","6.09","6.13","940,800","","","","","","","","","","","","",""
"2004-02-02T05:00:00.000Z","6.14","6.14","6.11","6.14","523,200","","","6.14","","","","","","","","","",""
"2004-02-03T05:00:00.000Z","6.10","6.10","6.08","6.10","1,848,800","","","6.12","","","","","","","","","",""
"2004-02-04T05:00:00.000Z","5.94","5.94","5.92","5.92","408,000","","","6.01","","","","","","","","","",""
"2004-02-05T05:00:00.000Z","5.96","5.96","5.92","5.95","20,800","","","5.93","","","","","","","","","",""
"2004-02-06T05:00:00.000Z","5.99","6.07","5.99","6.07","8,000.00","","","6.01","","","","","","","","","",""
"2004-02-09T05:00:00.000Z","6.08","6.10","6.05","6.06","25,600","","","6.07","","","","","","","","","",""
"2004-02-10T05:00:00.000Z","6.10","6.10","6.08","6.08","1,600.00","","","6.07","","","","","","","","","",""
"2004-02-11T05:00:00.000Z","6.08","6.14","6.08","6.13","1,411,200","","","6.11","","","","","","","","","",""
"2004-02-12T05:00:00.000Z","6.13","6.13","6.11","6.11","2,400.00","","","6.12","","","","","","","","","",""
"2004-02-13T05:00:00.000Z","6.13","6.13","6.03","6.03","14,400","","","6.07","","","","","","","","","",""
"2004-02-17T05:00:00.000Z","6.08","6.12","6.08","6.12","4,000.00","","","6.07","","","","","","","","","",""
"2004-02-18T05:00:00.000Z","6.11","6.11","6.09","6.09","1,600.00","","","6.10","","","","","","","6.07","","",""
"2004-02-20T05:00:00.000Z","6.01","6.01","5.93","5.97","19,200","","","6.03","","","","","","","6.06","","",""
"2004-02-23T05:00:00.000Z","6.00","6.00","5.84","5.84","10,400","","","5.90","","","","","","","6.05","17.85","44.09",""
"2004-02-24T05:00:00.000Z","5.86","5.88","5.86","5.88","5,600.00","","","5.86","","","","","","","6.04","17.31","42.75",""
"2004-02-25T05:00:00.000Z","5.91","5.91","5.90","5.90","24,000","","","5.89","","","","","","","6.03","19.64","41.55",""
"2004-02-26T05:00:00.000Z","5.90","5.90","5.90","5.90","800.00","","","5.90","","","","","","","6.03","19.64","41.55",""
"2004-02-27T05:00:00.000Z","5.91","5.91","5.91","5.91","4,800.00","","","5.90","","","","","","","6.02","20.18","41.27",""
"2004-03-01T05:00:00.000Z","5.97","5.97","5.97","5.97","8,000.00","","","5.94","","","","","","","6.01","26.11","38.20",""
"2004-03-02T05:00:00.000Z","6.00","6.02","5.96","5.96","24,000","","","5.97","","","","","","","6.01","29.57","35.71",""
"2004-03-03T05:00:00.000Z","5.89","5.91","5.89","5.91","52,000","","","5.93","","","","","","","5.99","27.15","40.98",""
"2004-03-04T05:00:00.000Z","5.94","5.94","5.94","5.94","800.00","","","5.92","","","","","","","5.98","29.99","39.38",""
"2004-03-05T05:00:00.000Z","5.92","5.98","5.90","5.96","499,200","","","5.95","","","","","","","5.96","31.83","36.03",""
"2004-03-08T05:00:00.000Z","5.96","5.96","5.91","5.92","19,200","","","5.94","","","","","","","5.95","30.05","34.02",""
"2004-03-09T05:00:00.000Z","5.75","5.78","5.70","5.75","645,600","","","5.84","","","","-0.0716","","","5.92","23.75","46.55",""
"2004-03-10T05:00:00.000Z","5.76","5.76","5.66","5.66","32,000","","","5.71","","","","-0.0866","","","5.90","21.70","45.81",""
"2004-03-11T05:00:00.000Z","5.67","5.67","5.60","5.60","32,000","","","5.63","","","","-0.1022","","","5.88","20.30","48.61","23.80"
"2004-03-12T05:00:00.000Z","5.68","5.71","5.68","5.71","69,600","","","5.66","","","","-0.1048","","","5.86","21.76","43.89","24.51"
"2004-03-15T05:00:00.000Z","5.63","5.63","5.61","5.61","2,400.00","","5.94","5.66","","","","-0.1138","","","5.84","19.77","46.57","25.64"
"2004-03-16T05:00:00.000Z","5.64","5.64","5.61","5.61","9,600.00","","5.93","5.61","","","","-0.1191","","","5.82","19.43","45.21","26.66"
"2004-03-17T05:00:00.000Z","5.71","5.72","5.71","5.72","14,400","","5.91","5.67","","","","-0.1133","","","5.81","25.02","40.80","26.47"
"2004-03-18T05:00:00.000Z","5.65","5.68","5.64","5.68","3,200.00","","5.90","5.70","","","","-0.1110","","","5.78","23.15","44.09","26.80"
