"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (30,C,ma,0)","MA ma (2,C,ma,0)","MA ma (40,C,ma,0)","Awesome_hist","MA ma (60,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","MA ma (13,O,ma,0)","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"1998-12-22T05:00:00.000Z","11.66","11.70","11.59","11.63","30,400","","","","","","","","","","","","",""
"1998-12-23T05:00:00.000Z","11.67","11.88","11.66","11.88","135,600","","","11.75","","","","","","","","","",""
"1998-12-24T05:00:00.000Z","11.91","11.91","11.80","11.81","24,600","","","11.84","","","","","","","","","",""
"1998-12-28T05:00:00.000Z","11.88","11.88","11.67","11.75","27,000","","","11.78","","","","","","","","","",""
"1998-12-29T05:00:00.000Z","11.78","11.87","11.67","11.87","44,000","","","11.81","","","","","","","","","",""
"1998-12-30T05:00:00.000Z","11.86","11.86","11.68","11.69","43,600","","","11.78","","","","","","","","","",""
"1998-12-31T05:00:00.000Z","11.67","11.67","11.61","11.67","26,000","","","11.68","","","","","","","","","",""
"1999-01-04T05:00:00.000Z","11.64","11.88","11.64","11.66","57,200","","","11.67","","","","","","","","","",""
"1999-01-05T05:00:00.000Z","11.73","11.73","11.59","11.60","85,400","","","11.63","","","","","","","","","",""
"1999-01-06T05:00:00.000Z","11.73","12.00","11.66","11.98","112,800","","","11.79","","","","","","","","","",""
"1999-01-07T05:00:00.000Z","11.98","11.99","11.79","11.93","145,200","","","11.96","","","","","","","","","",""
"1999-01-08T05:00:00.000Z","12.00","12.28","11.69","11.98","842,200","","","11.96","","","","","","","","","",""
"1999-01-11T05:00:00.000Z","11.88","11.89","11.72","11.76","70,000","","","11.87","","","","","","","11.80","","",""
"1999-01-12T05:00:00.000Z","11.75","11.80","11.56","11.58","178,400","","","11.67","","","","","","","11.81","","",""
"1999-01-13T05:00:00.000Z","11.38","11.59","11.34","11.41","84,800","","","11.49","","","","","","","11.78","28.96","18.69",""
"1999-01-14T05:00:00.000Z","11.38","11.44","11.19","11.19","140,000","","","11.30","","","","","","","11.74","26.81","21.96",""
"1999-01-15T05:00:00.000Z","11.28","11.38","11.23","11.36","21,400","","","11.27","","","","","","","11.70","25.28","20.71",""
"1999-01-19T05:00:00.000Z","11.41","11.41","11.27","11.36","25,600","","","11.36","","","","","","","11.67","25.15","19.80",""
"1999-01-20T05:00:00.000Z","11.30","11.41","11.26","11.27","31,600","","","11.31","","","","","","","11.62","23.95","19.11",""
"1999-01-21T05:00:00.000Z","11.27","11.45","11.25","11.36","47,800","","","11.31","","","","","","","11.59","23.90","17.86",""
"1999-01-22T05:00:00.000Z","11.38","11.41","11.28","11.30","38,600","","","11.33","","","","","","","11.57","22.91","17.12",""
"1999-01-25T05:00:00.000Z","11.34","11.34","11.19","11.28","36,400","","","11.29","","","","","","","11.54","21.69","19.39",""
"1999-01-26T05:00:00.000Z","11.30","11.30","11.08","11.17","51,400","","","11.23","","","","","","","11.51","20.09","21.65",""
"1999-01-27T05:00:00.000Z","11.19","11.19","10.94","10.97","74,200","","","11.07","","","","","","","11.45","18.41","24.54",""
"1999-01-28T05:00:00.000Z","11.00","11.00","10.81","10.91","61,600","","","10.94","","","","","","","11.37","17.25","27.20",""
